국가(대륙)별,상품군별,판매유형별,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4 p)
중국,합계,계,55066,68938,77525,117223,170201,183801,173699,334029,390522,369735,445588,585452,689563,448483,596949,667606,646426,717843,744661,782962,1057204,1141821,1319089,1666550,1329056,1096847,1457319,1317306,1009003,1014908,833575,730082,402616,347097,269352,189995,141933,309247
중국,합계,면세점,,,,,,,,,,,,,635589,409703,562049,610041,604688,670391,707619,727126,1012118,1092077,1270158,1599893,1253633,1034738,1392952,1229759,963384,964465,789774,675565,358933,292208,205569,145545,104133,272120
중국,합계,면세점 이외,,,,,,,,,,,,,53974,38780,34900,57565,41738,47452,37042,55836,45086,49744,48931,66657,75423,62109,64367,87547,45619,50443,43801,54517,43683,54889,63783,44450,37800,37127
중국,컴퓨터 및 주변기기,계,32,34,65,68,80,50,77,67,49,69,46,114,47,29,40,65,34,26,17,178,31,19,27,104,61,41,3563,67,46,49,49,52,19,26,28,99,58,67
중국,컴퓨터 및 주변기기,면세점,,,,,,,,,,,,,3,2,5,1,2,6,1,152,2,0,1,70,0,0,3497,0,0,0,0,0,0,0,0,0,0,0
중국,컴퓨터 및 주변기기,면세점 이외,,,,,,,,,,,,,44,27,35,64,32,20,16,26,29,19,26,34,61,41,66,67,46,49,49,52,19,26,28,99,58,67
중국,가전·전자·통신기기,계,761,1421,1342,1542,2072,2370,2354,5853,4988,4178,4796,4887,8147,5865,8158,11015,15671,20143,18970,10639,13657,14507,15180,12451,3096,2123,3249,5235,3479,10061,6666,4937,45470,2244,1321,797,343,1292
중국,가전·전자·통신기기,면세점,,,,,,,,,,,,,7691,5468,7794,10663,15292,19805,18740,10349,13347,14160,14778,11952,2653,1723,2933,5041,3257,9886,6558,4850,45306,2168,1286,764,201,1256
중국,가전·전자·통신기기,면세점 이외,,,,,,,,,,,,,456,397,364,352,379,338,230,290,310,347,402,499,443,400,316,194,222,175,108,87,164,76,35,33,142,36
중국,소프트웨어,계,126,128,198,255,281,194,205,46,36,16,12,18,9,12,4,54,4,6,4,13,6,1,0,0,1,2,1,0,1,0,2,0,0,0,0,0,111,0
중국,소프트웨어,면세점,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
