동별(1),동별(2),2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
동별(1),동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),인구밀도,인구밀도,세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),인구밀도,인구밀도
동별(1),동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,인구밀도 (명/㎢),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,인구밀도 (명/㎢)
합계,소계,4463385,9668008,4672170,4995838,9426404,4566299,4860105,241604,105871,135733,2.11,1690961,4469158,9659322,4664900,4994422,9414093,4557609,4856484,245229,107291,137938,2,1706138,4475726,9655918,4660459,4995459,9407540,4552501,4855039,248378,107958,140420,2,1725801
합계,종로구,72679,152212,72819,79393,141060,68170,72890,11152,4649,6503,1.94,28265,72507,151349,72433,78916,140397,67834,72563,10952,4599,6353,2,28383,72304,151127,72222,78905,139945,67625,72320,11182,4597,6585,2,28610
합계,중구,63862,131390,63576,67814,120963,58699,62264,10427,4877,5550,1.89,25353,64375,132054,63800,68254,121441,58857,62584,10613,4943,5670,2,25546,64609,131825,63661,68164,121405,58788,62617,10420,4873,5547,2,25737
합계,용산구,109735,232482,112608,119874,217756,104640,113116,14726,7968,6758,1.98,39478,109679,232069,112390,119679,217288,104357,112931,14781,8033,6748,2,39717,109360,230692,111646,119046,216152,103804,112348,14540,7842,6698,2,39972
합계,성동구,133513,287240,139171,148069,280240,136233,144007,7000,2938,4062,2.1,48238,133484,286564,138719,147845,279374,135723,143651,7190,2996,4194,2,48514,133366,285543,138109,147434,278366,135143,143223,7177,2966,4211,2,48988
합계,광진구,169787,350925,167983,182942,336801,162209,174592,14124,5774,8350,1.98,54854,169857,350820,167728,183092,336169,161755,174414,14651,5973,8678,2,55418,170388,351959,168059,183900,336604,161892,174712,15355,6167,9188,2,56173
합계,동대문구,171140,354884,172178,182706,337574,165933,171641,17310,6245,11065,1.97,65154,171703,355667,172342,183325,338115,166040,172075,17552,6302,11250,2,65657,173091,359113,173936,185177,341238,167468,173770,17875,6468,11407,2,66440
합계,중랑구,187898,389928,191122,198806,385003,189186,195817,4925,1936,2989,2.05,76116,187981,389316,190726,198590,384272,188744,195528,5044,1982,3062,2,76968,187900,387940,189874,198066,382797,187844,194953,5143,2030,3113,2,77949
