content,score,thumbsUpCount,at,year,month,target
친구가 추천해서 이용해봤는데 모든제품이 무료배송이고 명품도 있고 여러가지 제품들이 많아서 필요한 옷이나 화장품 등등을 살수있어서 좋네요 😻 에이블리 추천합니다,5,0,2023-11-28 22:16:36,2023,11,1
설치한지 며칠 안된 사람입니다. 솔직히 쇼핑을 잘 안 하다가 살게 있어서 한번 깔아본건데 아직까진 괜찮습니다. 화장품이건 옷이건 더 다양하게 접해서 그런가 저같은 사람 입장에서는 신세계네요.,5,0,2023-11-19 22:06:54,2023,11,1
대한민국 여자들 필수앱... 올영보다 화장품이 더 싸고 쿠폰도 왕창 많이 뿌려서 너무 좋아요ㅠㅠ 에이블리 보세라서 싫다는 사람들도 많은데 에이블리에 브랜드도 있는거 알아줬으면 좋겠어요.. 리뷰도 제 또래들이 쓴거라서 공감되고 정말정말 활발히 달리는 앱이라 좋아요!!,5,0,2023-08-26 01:20:20,2023,8,1
좋아요 배송비없이 옷이며 화장품 다 살수있네요,5,0,2023-08-02 07:44:25,2023,8,1
진짜 조아여 친구들이 진짜 안들어가면 사람아니라고 진짜 깔아야한다고 해서 처음 깔았었는데 로그인 간편해서 좋았어용그리거 처음 들어가면 2000원주고 그거로 주문하면 또 2000 원주고 할인쿠폰도 엄청 많고 여러 미션도 많이 있어서 인터넷 쇼핑 처음하는 저로서는 만족합니다.옷들도 이쁜거많고 화장품 악세서리 간식 등등 여러 종류에 물건이 많아 구경하다보면 시간 후딱가기도하고 ㅎ 옷이랑 악서리 간식 이거 다 싸고 싼거에다가 할인쿠폰이랑 이것저것 넣다보면 2000 원으로 사야하던게 0 원이 되있습니다 진짜 처음에 이거보고 눈물흘릴뻔 또씨앗심어서 포인트(?)암튼 그거 주는것도 있고 돼지(?)같은거 밥주는것도 있고 여러가지 겜같은것도 있어서 아주 기부니 좋습니다.저는 참고로 초짜때 무료로 반지 2개 샀어여(ㅎ) 토스도 가능해서 편리하고 인터넷 쇼핑 앱치고 아주 잼있게 사용하고있습니다 열분 고민하기전에 까시고 고민하십쇼\(^^)/ 아참 열분 포인트그거 모으는거는 광고 쪼오오끔 있어여<(^^)/,5,0,2023-07-31 22:35:40,2023,7,1
가격도 괜찮고 잘 보고 사면 좋은옷들 많아요 할인도 자주 해주고요 근데 상품정보 설명이 안뜨는 오류가 자주 발생해요 저만 그런걸까요 화장품 보려고 들어왔는데 위에 설명 조금 있다가 뚝 끊기고 좀 이상하네요 그리고 웨이크메이크 제발 입점.. 안될까요😢,3,0,2023-07-16 20:47:32,2023,7,1
옷이 이쁘고 다양한 화장품도 있어 엄청 좋아요!! 추천합니당,5,0,2023-05-27 13:13:30,2023,5,1
너무 유명해서 되려 깔 마음이 없었는데 어쩌다 깔고 잘 쓰고 있어요. 단점이라면 옷들은 가격에 비해 괜찮은 상품이 많은데 화장품같은것들은 다른 앱이나 구매처들에 비해 비싸요,4,0,2022-11-21 01:34:19,2022,11,1
무료배송 쉽지않은데 대단하네요^.^. 항상 좋은 물건 좋은 화장품 편리하게 찾을수 있어서 좋아요! 배송도 빠르고 문의하면 세상 친절하게 답변해줘여! 앱슬때 별문제 되지 는 않네여..,5,1,2022-11-12 15:55:42,2022,11,1
"고2때부터 지금까지 계속 사용하던 유저입니다. 무료배송에다가 이쁜옷들,화장품 등등 맘에드는게 많아서 진짜 잘쓰고있었습니다. 그런데 속옷을 시켰는데 품절되서 주문이 취소됬어요. 9월29일쯤에 취소된데 아직도 취소진행중이네요? 다른건 취소됬을때 바로바로 입금되고 좋았는데 아소마 라는 상품판매쪽은 아직까지도 취소진행중이내요;; 거기만 그러는건지,,, 취소진행해놓고 입금도 안되고, 계속 취소진행중..ㅋㅋ;;; 어이가 없네요. 예전에 쓰던 에이블리 계정을 읽어버려서 VIP가 아닌데 예전에 쓰던 계정은 VVIP가됬을만큼 많이 구매하고 사용하면서 좋은 리뷰도 많이남겼습니다. 믿으면서 쓰던 쇼핑어플에서 상품여러게취소한것도 아니고 상품 하나가 취소진행된걸 제대로 안하다니요,,, 좀 많이 실망 스럽네요. 품절되서 취소된게 아직까지 취소진행중이라... ㅋㅋ,,, 생각할수록 어이없네ㅋㅋ;;;",3,38,2022-10-24 16:37:58,2022,10,1
주문이 편리해서 좋구요 예쁜옷이나 화장품이 많아서 좋아요,5,0,2022-10-11 14:35:21,2022,10,1
"쿠폰 많이 주고, 이쁜 옷도 많고, 향수랑 화장품 등도 있어서 넘 좋아요😄 에이블리에서 아직 많이 구매해 보진 않았지만.. 좋은 앱이에요❤",5,0,2022-10-02 00:36:47,2022,10,1
"옷도 다양하고 화장품,소품 등도 살수있어서 정말 좋아요 💖",5,0,2022-09-20 18:49:14,2022,9,1
"제가 좋아하는 옷들,스타일,문구,먹거리,가방,화장품이 많아요 근데 조금 싼티가 나는옷,실밥이 나온옷들이 있지만 추천드립니다 5점 드릴게요",5,0,2022-08-20 13:58:30,2022,8,1
무료 배송 이 넘조아요 글구 옷 말고도 문구 화장품 등등 종류가많아서 다른앱 안써도 되서 편리합니다 이벤트도 많고 근데 배송이 살짝 느리고 오류가 있네요 ㅠ 어제 도착인데 오늘 도착하고ㅠ,4,0,2022-08-13 09:32:13,2022,8,1
진짜 예쁘 옷도 많았아서 저 하루에 6개나 구입했잖아요ㅠㅠㅠ 케이스 있고요 옷있고요 화장품있구요 주얼리 있고요 징짜개마나여 편의점에서도 구입할수 있구ㅠㅠㅠ징짜 사랑해 에블리 ㅠㅠㅠ💕💕💕,5,0,2022-08-08 19:41:02,2022,8,1
아~ 고냥 쵝오입니다 화장품부터 옷 문구류 등등 다~ 여기서 사면 되요 쿠팡보다 좋음 ㄹㅇ 먹을것도 여기서 팔면 ㄹㅇ 쿠팡 압도함,5,0,2022-07-24 00:49:48,2022,7,1
옷뿐만 아니라 화장품이나 소품등등도 팔아서 정말 좋아요. 근데 가끔 렉이걸려요,4,0,2022-07-18 21:44:00,2022,7,1
무료배송이라서 진짜 좋은데요 무료인만큼 더럽게 안 와요 진짜 3일에 시켰는데 입고지연문자 3번이나 왔어요 이젠 놀랍지도 않고 20일 이후 입고 예상이라네요?^^ 23일에 약속 있는데 20일 전에 시킨 걸 3일 전에 받아볼 수 있다니 정말 ^v^.. 더 변동돼서 약속날짜에 옷 안오면 저 진짜 에이블리 회사 화장실에다 똥 싸고 물 안 내릴 거예요 빨리좀 보내주세요ㅠㅠㅍㅍ,3,0,2022-07-08 17:19:23,2022,7,1
옷 화장품 악세사리 필기도구 집 인테리어 등 생활하면서 사고싶은 이쁘장한 물건들을 살 수 있고 1개1개 살때마다 포인트가 적립되고 쿠폰도 거의 맨날 준다고 볼 수 있습니다. 이벤트도 있고 편의점에서 현금으로 계산 할 수도 있습니다.,4,0,2022-06-29 21:32:29,2022,6,1
"너무너무 이쁜 옷, 학용품, 화장품 등등 다양한 게 너무나도 많은 데다 색도 여러가지여서 너무 마음에 들어요.ᐟ 무엇보다도 배송 시간이 3~4일 정도는 걸릴 줄 알고 걱정 했는데 다행히도 2일 걸려서 너무 기뻤어요..ㅠㅜ 리뷰 쓰는 걸 깜빡해서 늦게라도 써봐요.ᐟ 여러분들 이거 꼭꼭 설치 하세요! 진짜로 강추드려요..! 진짜 저만 알고 싶은 앱 중 하나 입니다.. 폰케이스도 있구 킥배송도 있어요 당장 설치 해야 겠죠? 쿠폰팩도 무지막지하게 준다니깐요? 꼭꼭 설치 부탁 드려염",5,22,2022-06-23 07:01:41,2022,6,1
진짜 에이블리 옷도 팔고 화장품 뭐 가방 이런거 다 팔아서 진짜 개편하고 개좋은데 진짜 딱 하나 아쉬운게있다면 무통장입금을 제가 할라해두 제꺼가 새마을금고여서 입금이 안되고 편의점결제만해야한다는게 넘 아쉬워요 ㅠㅠ 이런점만 고려해주시면 진짜 저 vip에서 vvip되도록 할게요 맨날 편의점 드나드는거나 직원분들이 모르시는경우가 많으셔서 새마을금고도 입금가능하게해주세용ㅇ ㅠㅠ,4,1,2022-06-19 16:30:27,2022,6,1
화장품들이 모여있고 무료배송이라 좋네요,4,0,2022-04-27 23:51:41,2022,4,1
예쁜옷들도 많고 화장품이나 장난감?같은것도 있어서좋아요 또한 빠른배송이 있어서 좋은거 같네요!,5,0,2022-04-01 17:45:58,2022,4,1
필통 옷 바지 화장품 립밤 도구 엄청 많아서 좋아요! 배송도 빨라요!! 무료 배송😆😎,5,0,2022-03-22 06:34:27,2022,3,1
"옷 뿐만이 아니라 거전제품, 취미, 악기, 화장품, 악세서리, 신발, 모자 등등 다양한 물건들을 파는 앱이여서 좋은것같아요 다만 단점이 있다면 조금 비싸다는점? 다른 앱 사이트에서 찾아보면 더 싼 물건이 굉장히 많아요 이 앱 사용하실때 다른 사이트에서도 잘 알아보시고 사용하시는게 좋을것같아요",3,22,2022-03-11 20:53:43,2022,3,1
옷도 예쁘고 화장품도 종류가 많아서 좋아요,5,0,2022-02-27 18:09:30,2022,2,1
옷도 많고 화장품이나 물건등등 여러가지 많아서 굉장히 편리해서 좋게 쓰고있습니당 !! 거기다가 쿠폰도 한번씩 후하게 줘서 저렴하게 잘 쓸때도 있고요 👍😊,5,0,2022-02-18 14:13:20,2022,2,1
뷰티도 팔고 쿠폰도 적용금액이 낮아 사용하기 좋아요,4,0,2022-02-13 00:19:31,2022,2,1
"이메일 문제때문에 기존 계정을 탈퇴하고 새 계정을 만들려고 했는데, 재가입 할 때 전화번호 입력하고 인증번호 누르면 이미 가입된 계정이 있다고 아이디찾기로 이동되고, 아이디 찾기에서 전화번호 입력을 하면 가입된 계정이 없다고 뜨네요. 뭐 어쩌라는건지... 재가입도 못하고 로그인도 못하고 이도저도 아니게 돼버렸네요. 앱 지웠다 깔아도 똑같아요. 어차피 저 화장품밖에 안사는데 에이블리가 무료배송에 쿠폰도 자주주고 가격도 싸서 잘 썼는데 강제로 못쓰게 돼버렸네요.",2,0,2022-02-11 22:52:30,2022,2,0
"리뷰를 썼었는데 삭제 됐네요ㅠㅠ 이 앱 정말정말 추천드려요 10, 20대 여성분이고 옷에 관심 있거나 다이어리 꾸미기 화장 등에 관심 있으시면 정말 유용하실 거에요 장점 1. 가격, 색 등을 설정해 더 쉽게 찾아볼 수 있음 2. 전품목 무료배송임 3. 여러 쇼핑몰이 몰아져 있어서 가격 비교를 하며 옷을 살 수 있음 4. 쿠폰을 정말 많이 뿌려줌 5. 그냥 받으삼 후회 할 일 없음 단점 1. 다른 사람이 단 리뷰에 내가 댓글을 달 수 없음 2. 단점이 한개밖에 없음",5,44,2022-01-30 12:26:52,2022,1,1
아직배송안받아봐서 모르겠는데 풀랫폼자체는 매우 괜춘함. 옷뿐아니라 뷰티템들도 쉽게 접근가능한게 좋음,5,0,2022-01-12 17:37:01,2022,1,1
"앱에서 옷 뿐만이 아니라 인스,스티커,케이스,화장품 등등 팔아서 좋은것 같애요!! 그리구 핸드폰 결제말고 편의점결제도 가능해서 너무너무 잘 쓰고 있어여 >< !",5,11,2021-12-14 08:00:33,2021,12,1
"진짜 너무 조하요ㅜㅜ 마켓도 많고 취향별로 가격대,색,나이,키 등 많은 키워드가 있어서 너무 좋구요 쿠폰도 많리 주고 이벤트도 믾이 해서 너무너무 좋아요ㅜㅜ 옷,화장품은 다 에이블리에서 구매해요",5,5,2021-11-11 14:10:38,2021,11,1
정말 가성비쩌는곳은 여기밖에없을듯 15000원짜리를 6처넌에 파는곳이 또 어디있을까;;; 에이블리관계자님 샌시라는 화장품 브랜드 입점시켜주세요ㅠ,5,0,2021-10-19 11:09:46,2021,10,1
"가성비 좋은 옷,화장품, 홈데코 이쁜거 짱 많음..♡",5,0,2021-09-26 21:42:41,2021,9,1
다좋은데..뷰티상품이 좀더 많았으면 좋겠어요.. 저는 진짜진짜 숯비누 사고싶은데 없어요..,4,1,2021-09-18 22:21:20,2021,9,1
부모님 몰래 화장품이나 옷 사시는분들한테 강추하는 앱입니다!쿠폰도 진짜 많고 예쁜 옷들도 진짜 많습니다!하지만 궂이 단점을 꼽아보자면 제가 지방에 사는데 배송이 좀 늦게와요.....당연한건가요??일단 전 이 앱 강추해욧,5,24,2021-08-27 10:35:34,2021,8,1
"화장품이나 여러 옷들도 살수 있어서 너무너무 좋아요! 근데 마켓들이 의외로 제가 생각한 마켓들이 없더라구요ㅠㅠ(ex:투쿨포스쿨,트라이미등) 마켓들이 좀 더 많아지면 좋겠어요! 그리고 좀 궁금한점들을 소비자 분들께 물어볼수 있으면 좋겠어요! 예를 들면 치마인데 속바지 여부라던가 그런거요!",4,95,2021-08-13 19:38:38,2021,8,1
"옷 뿐만 아니라 다이어리, 이불, 필기구, 화장품 , 악세사리 등 여러가지가 있어서 너무 좋아요 !! 게다가 하나같이 다 예쁜 상품만 모아둬서 매번 홀린듯 구매합니다.. 비슷한 상품 보는곳에도 가격순/인기순 등이 있으면 좋겠어요 !",5,41,2021-07-17 20:11:28,2021,7,1
옷이 예뻐요. 그런데 바람이 불면 큰일 ^^;; 좀더 실용성 있게 만들어 주시고 두번째로 화장품 구입했어요 가격이 합리적이라 좋네요.쿠폰도 있어서 좋았어요.,4,16,2021-07-17 11:36:22,2021,7,1
