업체,국내외 사례 분석,서비스 유형,선정 요인,사람,참고 URL,차별점(강점),예상 타겟층,벤치마킹 기능,Related to 국내외 사례 분석 (서비스 분석)
높은 접근성의 오프라인 매장,올리브영몰 (https://www.notion.so/c6dd13479e2e4354a9290050345377d1?pvs=21),화장품 체험,,소정 이,,,,,
컬리로그,마켓컬리 (https://www.notion.so/0f138ecd38cc44d0a4035d1fe3ae0077?pvs=21),화장품 체험,,소정 이,,,,,
팝업스토어,무신사 (https://www.notion.so/5d4aae1f68b54b84baaa46bd8f5c466f?pvs=21),화장품 체험,,소정 이,https://newsroom.musinsa.com/newsroom-menu/2023-1114,,,,
체험단,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),화장품 체험,,소연 이,https://www.ssg.com/monm/testerZone.ssg,매주 체험단 모집하여 샘플제공,,,
로켓럭셔리 뷰티 체험단,쿠팡 (https://www.notion.so/9427215a8f7b4c84ba818360e315d8a7?pvs=21),화장품 체험,,소연 이,https://pages.coupang.com/p/92261,한정된 인원에 한해 샘플체험(후기 작성필수),,,
화장품 체험 정리,,"정리, 화장품 체험",,,,,,,
뷰티 테스터,CJ 온스타일(CJ ENM 커머스) (https://www.notion.so/CJ-CJ-ENM-f89c4f48e75a4e2f9baca879273fa25d?pvs=21),화장품 체험,,sr c,https://display.cjonstyle.com/p/beautyTester/beautyTesterMain,프리미엄 제품,30-40 여성,,
샘플 체험 / + 꼼평단 설문단(본품 체험),화해 (https://www.notion.so/500f3d2e64fa46bba243e02431f55f34?pvs=21),화장품 체험,,sr c,https://hwahae.onelink.me/8Yb2/jkembwnx,"1. 샘플 0원으로 체험 후 같은 브랜드에서 쓸 수 있는 쿠폰 제공
2. 본품을 꾸준하게 써볼 수 있는 기회 제공",,,
직잭 뷰티 체험단,지그재그(카카오스타일) (https://www.notion.so/5655481a9e7a4ea2a3d4e63bda2e8124?pvs=21),화장품 체험,실제로 화장품을 체험해볼 수 있는 방식 제공,sr c,http://www.promedia.kr/news/articleView.html?idxno=564508,"1. 올리브영의 경우 탑리뷰어만 체험단 신청 가능, 지그재그는 별다른 제한 X
2. 배송비 3000으로 샘플 경험 가능(업체 리스트 쭉 나열)",10-30대 뷰티 관심 소비자,화장품 무료 체험,
개인화 정리,,"개인화(추천), 정리",,,,,,,
나를 위한 추천 상품들 추천,올리브영몰 (https://www.notion.so/c6dd13479e2e4354a9290050345377d1?pvs=21),개인화(추천),,소정 이,,,,,
동일제품 타 구매고객의 구매품들 추천,올리브영몰 (https://www.notion.so/c6dd13479e2e4354a9290050345377d1?pvs=21),개인화(추천),,소정 이,,,,,
성분비슷템,화해 (https://www.notion.so/500f3d2e64fa46bba243e02431f55f34?pvs=21),개인화(추천),,sr c,,성분을 분석해서 비슷한 제품 추천,,,
동일제품 타 구매고객의 구매품들 리스트,마켓컬리 (https://www.notion.so/0f138ecd38cc44d0a4035d1fe3ae0077?pvs=21),개인화(추천),,소정 이,,,,,
고객이 본 / 구매한 상품 추천,GS 샵 (https://www.notion.so/GS-0493ed4fbeac4f168441b25537d34348?pvs=21),개인화(추천),,sr c,,,,,
일반적 추천(개인화X),지마켓 (https://www.notion.so/f807c94e0d494d8c8fb25d0941e097b0?pvs=21),개인화(추천),,sr c,,,,,
AI선물탐험,카카오쇼핑 (https://www.notion.so/c66192a7df3c419e902eeac60ed8355d?pvs=21),개인화(추천),,소연 이,,선물 추천,,,
제품별 퍼스널컬러,화해 (https://www.notion.so/500f3d2e64fa46bba243e02431f55f34?pvs=21),개인화(추천),,sr c,,"1. 리뷰 데이터를 바탕으로 어떤 퍼스널컬러 유형이 많이 샀는지 알려줌
2. 상품 리뷰에 많이 언급된 키워드 제공",,,
기프트,SSG 닷컴 (https://www.notion.so/SSG-e90ed34dcfb94d678e1b0ca57be776b6?pvs=21),개인화(추천),,소연 이,https://www.ssg.com/monm/gift.ssg,선물 제안 검색서비스,,,
발색 기준 비슷한 제품 추천 + 제형 추천,화해 (https://www.notion.so/500f3d2e64fa46bba243e02431f55f34?pvs=21),개인화(추천),,sr c,,,,,
맞춤형블록 / 추천형 블록,네이버쇼핑(네이버 커머스 부문) (https://www.notion.so/eb3e62d83bd54a16ae97cc610e0832b1?pvs=21),개인화(추천),,sr c,https://www.onmd.net/brandcontents/?idx=17074308&bmode=view,추천 상품 유형 필터링(캡쳐 2),,,
상품을 본 고객이 구매한 상품,11번가 (https://www.notion.so/11-2897321eaec04024af7368dff413f032?pvs=21),개인화(추천),,sr c,,,,,
개인화 추천 시스템,지그재그(카카오스타일) (https://www.notion.so/5655481a9e7a4ea2a3d4e63bda2e8124?pvs=21),개인화(추천),,sr c,지그재그 앱,평범,,,
배송 정리,,배송,,,,,,,
스마트픽 서비스,롯데온 (https://www.notion.so/1bb021362be741938c62116c6dd01680?pvs=21),배송,,소정 이,,,,,
조건부 무료배송,롯데온 (https://www.notion.so/1bb021362be741938c62116c6dd01680?pvs=21),배송,,소정 이,,,,,
조건부 무료배송,위메프 (https://www.notion.so/f8d5d209ec354375a2a1ed070f3eb4e4?pvs=21),배송,,소정 이,,,,,
일반배송/오늘드림/픽업,올리브영몰 (https://www.notion.so/c6dd13479e2e4354a9290050345377d1?pvs=21),배송,,소정 이,,,,,
특정금액 이상 무료배송,마켓컬리 (https://www.notion.so/0f138ecd38cc44d0a4035d1fe3ae0077?pvs=21),배송,,소정 이,,,,,
편의점 픽업,GS 샵 (https://www.notion.so/GS-0493ed4fbeac4f168441b25537d34348?pvs=21),배송,,sr c,,주소지 공개에 민감한 경우 유리,,,
스마일배송,지마켓 (https://www.notion.so/f807c94e0d494d8c8fb25d0941e097b0?pvs=21),배송,,sr c,,당일 주문 내일도착,,,
