제품명,브랜드,가격,상품정보,썸네일
라로슈포제 히알루B5 세럼 30ml 기획 (+똘러리앙로션 15ml),라로슈포제,"54,000","['내용물의 용량 또는 중량 30ml + 15ml', '제품 주요 사양 민감성 피부 및 모든 피부에 사용 적합', '사용기한(또는 개봉 후 사용기간) 제조일로부터 3년 이내 / 1년 6개월이상 남은 제품부터 순차적 배송', '사용방법 히알루 세럼', '세안 후 세럼/에센스 단계에서 적당량을 덜어 얼굴과 목에 부드럽게 펴 발라줍니다', '', '똘러리앙 울트라 로션', '세안 후 토너 단계에서 적당량을 화장솜에 덜어 얼굴 전체에 부드럽게 발라줍니다.', '피부가 민감한 날 화장솜에 적셔 팩처럼 올려두어도 진정 효과에 좋습니다', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 프랑스 코스메틱 액티브 프로덕션사 / 엘오케이 유한회사', '제조국 프랑스', '화장품법에 따라 기재해야 하는 모든 성분 히알루 세럼', '정제수 글리세린 변성알코올 프로필렌글라이콜 판테놀 펜틸렌글라이콜 디메치콘 피이지-6카프릴릭/카프릭글리세라이드 피피지-6-데실테트라데세스-30 글리세릴이소스테아레이트 마데카소사이드 소듐하이알루로네이트 암모늄폴리아크릴로일디메칠타우레이트 디소듐이디티에이 하이드롤라이즈드하이알루로닉애씨드 카프릴릴글라이콜 시트릭애씨드 잔탄검 부틸렌글라이콜 토코페롤 페녹시에탄올 향료', '', '똘러리앙 울트라 로션', '정제수 글리세린 다이프로필렌글라이콜 부틸렌글라이콜 프로필렌글라이콜 펜틸렌글라이콜 나이아신아마이드 카프릴릴글라이콜 시트릭애씨드 잔탄검', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 *더 자세한 내용은 각 제품 포장에 기재된 주의사항 참고*', '1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시의 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', ""품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시 품목별 '소비자 분쟁 해결 기준' 에 의해 보상해드립니다."", '소비자상담 전화번호 라로슈포제 고객케어 센터 080-344-0088']","['./prdimgs/page_10_prd_0_thumb1.jpg', './prdimgs/page_10_prd_0_thumb2.jpg', './prdimgs/page_10_prd_0_thumb3.jpg']"
크리니크 이븐 베터 투명토닝세럼 30ml 기획(아이크림 5ml+브라이트닝크림 15ml),크리니크,"99,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부', '사용기한(또는 개봉 후 사용기간) 3년', '사용방법 - 하루 두 번 , 손가락 끝에 1-2회 펌프한 후 얼굴과 목에 전체적으로 발라주세요.', '- 더 효과적인 결과를 위해 다음 단계로 모이스춰라이저와 데일리 자외선 차단제 사용을 권장합니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 이엘씨에이한국(유)', '제조국 미국', '화장품법에 따라 기재해야 하는 모든 성분 정제수,사이클로펜타실록세인,다이메티콘,폴리실리콘-11,아이소도데케인,부틸렌글라이콜,아스코빌글루코사이드,피이지-10다이메티콘,피이지-6,산뽕나무뿌리추출물,황금추출물,녹차추출물,오이열매추출물,효모용해추출물,보리추출물,살리실릭애씨드,밀배아추출물,콜레스테롤,쌀겨추출물,스쿠알란,아세틸글루코사민,소듐하이알루로네이트,카페인,아이소헥사데칸,만주자작나무껍질추출물,운지버섯추출물,소듐알엔에이,글리시레티닉애씨드,다이메톡시톨릴프로필레조시놀,다이-C12-18알킬다이모늄클로라이드,해바라기씨드케이크,효모추출물,카프릴릴글라이콜,프로필렌글라이콜다이카프레이트,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머,폴리솔베이트20,토코페릴아세테이트,폴리솔베이트80,트로메타민,소듐하이드록사이드,헥실렌글라이콜,다이소듐이디티에이,소듐벤조에이트,소듐메타바이설파이트,소듐설파이트,페녹시에탄올,황색5호,황색4호', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품을 사용하여 다음과 같은 이상이 있는 경우에는 사용을 중지하여야 하며, 계속 사용하면 증상이 악화되므로 피부과 전문의 등에게 상담할 것', '가) 사용 중 붉은 반점, 부어오름, 가려움증, 자극 등의 이상이 있는 경우', '나) 적용 부위가 직사광선에 의하여 위와 같은 이상이 있는 경우', '2) 상처가 있는 부위, 습진 및 피부염 등의 이상이 있는 부위에는 사용을 하지 말 것', '3) 보관 및 취급 시의 주의사항', '가) 사용 후에는 반드시 마개를 닫아둘 것', '나) 유아ㆍ소아의 손이 닿지 않는 곳에 보관할 것', '다) 고온 또는 저온의 장소 및 직사광선이 닿는 곳에는 보관하지 말 것', '* 기타 제품 특이적인 주의사항은 제품 포장 참조', '품질보증기준 이엘씨에이한국(유)를 통해 공식 수입.판매되는 제품에 한해서, 제품에 이상이 있을 경우 공정거래위원회고시 품목별 소비자 분쟁 해결 기준에 따라 안내 받으실 수 있습니다.', '소비자상담 전화번호 02-3440-2511']",['./prdimgs/page_10_prd_1_thumb1.jpg']
리얼베리어 시카릴리프 RX 페이드인 세럼 50ml 1+1 기획,리얼베리어,"32,000","['내용물의 용량 또는 중량 50ml(본품) + 50ml(구성품)', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 개봉 전 제조일로부터 36개월간, 개봉 후에는 12개월 이내', '사용방법 세안 후 토너로 피부결을 정돈한 다음, 적당량을 취하여 얼굴 전체에 부드럽게 펴 발라줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜네오팜/㈜네오팜', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 프로판다이올, 부틸렌글라이콜, 나이아신아마이드, 글리세린, 트라이에틸시트레이트, 1,2-헥산다이올, 병풀추출물, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 마데카소사이드, 비타민나무열매추출물, 알란토인, 잔탄검, 레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이포타슘글리시리제이트, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 아데노신, 알지닌, 소듐시트레이트, 하이드록시아세토페논', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '2. 상처가 있는 부위 등에는 사용을 자제할 것', '3. 보관 및 취급 시 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 관련법 및 소비자분쟁해결 규정에 따름', '소비자상담 전화번호 080-500-0037']","['./prdimgs/page_10_prd_2_thumb1.jpg', './prdimgs/page_10_prd_2_thumb2.jpg']"
[NEW] 리터뉴 포어슈터 앰플 30ml,리터뉴,"28,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부타입', '사용기한(또는 개봉 후 사용기간) 1. 제조일로 부터 36개월 2. 개봉 후 12개월', '사용방법 본 품의 내용물을 적당히 덜어 도포 해준 후, 부드럽게 흡수 시켜줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)한국콜마, 더블유프롬', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수@글리세린@메틸프로판다이올@1,2-헥산다이올@나이아신아마이드@베타인@다시마추출물@한련초잎추출물@병풀추출물@무화과추출물@황벽나무껍질추출물@케일잎추출물@흰버드나무껍질추출물@인도멀구슬나무잎추출물@인도멀구슬나무꽃추출물@감나무잎추출물@포도추출물@잇꽃꽃추출물@커피콩추출물@호장근뿌리추출물@녹차추출물@밤껍질추출물@초피나무열매추출물@밤부사 불가리스수@하이드로제네이티드레시틴@소듐하이알루로네이트@카보머@트로메타민@잔탄검@아데노신@자일리틸글루코사이드@프룩토올리고사카라이드@다이소듐이디티에이@안하이드로자일리톨@베타-글루칸@소듐폴리아크릴레이트@피브이엠/엠에이코폴리머@자일리톨@부틸렌글라이콜@하이드롤라이즈드하이알루로닉애씨드@글루코오스@세라마이드엔피@하이드록시프로필트라이모늄하이알루로네이트@소듐아세틸레이티드하이알루로네이트@하이알루로닉애씨드@소듐하이알루로네이트크로스폴리머@포타슘하이알루로네이트@에틸헥실글리세린', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 [사용 시의 주의사항] 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용 부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상증상이나 부작용이 있는 경우 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것. 3. 보관 및 취급 시의 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것. 나) 직사광선을 피해서 보관할 것.', '품질보증기준 제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.', '소비자상담 전화번호 티엘네트웍스 02-6080-2885']","['./prdimgs/page_10_prd_3_thumb1.jpg', './prdimgs/page_10_prd_3_thumb2.jpg', './prdimgs/page_10_prd_3_thumb3.jpg', './prdimgs/page_10_prd_3_thumb4.jpg']"
[NEW] 라운드랩 자작나무 수분 앰플 50ml 기획 (+크림 20ml),라운드랩,"28,000","['내용물의 용량 또는 중량 [본품]자작나무 수분앰플 50ml+[증정품]자작나무 수분크림 20ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월, 개봉후 12개월', '사용방법 에센스 단계에서 적당량을 덜어 얼굴 전체에 부드럽게 흡수시켜 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 화장품제조업자: 코스맥스(주) | 화장품책임판매업자: 서린컴퍼니㈜', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 [본품: 자작나무 수분 앰플]', '정제수,부틸렌글라이콜,글리세린,펜틸렌글라이콜,메틸프로판다이올,1,2-헥산다이올,자작나무수액(10,230ppm),자일리틸글루코사이드,클로렐라 불가리스추출물,자일리톨,락토바실러스발효물,울금뿌리추출물,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,소듐하이알루로네이트,안하이드로자일리톨,글루코오스,프룩토올리고사카라이드,프룩토오스,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,에틸헥실글리세린,다이포타슘글리시리제이트,덱스트린,베타-글루칸,글리세릴글루코사이드,토코페롤,다이프로필렌글라이콜,다이메틸실란올하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,하이드록시프로필트라이모늄하이알루로네이트,소듐하이알루로네이트크로스폴리머,소듐하이알루로네이트다이메틸실란올,소듐아세틸레이티드하이알루로네이트,카프릴릴/카프릴글루코사이드,하이드로제네이티드레시틴,세라마이드엔피,잔탄검,치자추출물', '', '[구성품: 자작나무 수분 크림]', '정제수, 글리세린, 아이소노닐아이소노나노에이트, 아이소도데케인, 1,2-헥산다이올, 펜틸렌글라이콜, 폴리데센, 자작나무수액(10,000ppm), 호호바에스터, 판테놀, 글리세릴글루코사이드, 아라비아고무나무검, 하이드롤라이즈드오크라추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 화이트루핀씨추출물, 드럼스틱씨추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 알로에베라꽃추출물, 가지열매추출물, 홀리바질잎추출물, 참산호말추출물, 울금뿌리추출물, 아스코빅애씨드, 펜타에리스리틸테트라에틸헥사노에이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 에틸헥실글리세린, 아가, 다이포타슘글리시리제이트, 글리세릴카프릴레이트, 부틸렌글라이콜, 다이소듐이디티에이', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '품질보증기준 본 상품에 이상이 있을 경우, 공정거래위원회 고시 소비자분쟁해결기준에 의해 보상해드립니다.', '소비자상담 전화번호 .070-7717-0675']","['./prdimgs/page_10_prd_4_thumb1.jpg', './prdimgs/page_10_prd_4_thumb2.jpg', './prdimgs/page_10_prd_4_thumb3.jpg']"
닥터멜락신 아쿠아 이온 플라즈마 수분 앰플 50ml,닥터멜락신,"35,000","['내용물의 용량 또는 중량 50ml', '제품 주요 사양 모든 피부타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 본 품 적당량을 취해 피부에 골고루 펴 바른다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)코스메카코리아, (주)브랜드501', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수,프로판다이올,부틸렌글라이콜,글리세린,나이아신아마이드,1,2-헥산다이올,하이드록시아세토페논,글리세레스-25피씨에이아이소스테아레이트,잔탄검,카보머,에틸헥실글리세린,아데노신,트로메타민,옥수수커넬추출물,다이소듐이디티에이,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,덱스트린,하이드롤라이즈드치자추출물,하이드롤라이즈드맥아추출물,하이드롤라이즈드삼색제비꽃추출물,소듐디엔에이,치자추출물,글루코오스,프룩탄,시트릭애씨드,소듐글루타메이트,소듐클로라이드,포타슘클로라이드,소듐시트레이트,하이드록시프로필트라이모늄하이알루로네이트,칼슘락테이트,마그네슘카보네이트,소듐아세틸레이티드하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것 4) 눈 주위를 피하여 사용할 것. 만약 이상이 생겼을 경우 전문의와 상의하세요.', '품질보증기준 관련법 및 소비자분쟁해결 규정에 따름', '소비자상담 전화번호 02-540-2493']",['./prdimgs/page_10_prd_5_thumb1.jpg']
메디큐브 에이지알 부스터 젤 세럼 100ml,메디큐브 에이지알,"26,600","['내용물의 용량 또는 중량 100ml', '제품 주요 사양 모든 피부', '사용기한(또는 개봉 후 사용기간) 개봉전 36개월, 개봉후 12개월', '사용방법 본품 적당량을 취해 골고루 펴 바른다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 코스맥스(주)/ 에이피알(주)', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수,프로판다이올, 나이아신아마이드, 1,2-헥산다이올, 사막장미잎세포추출물, 아라비안자스민잎세포추출물, 소듐하이알루로네이트, 수용성콜라겐, 하이드롤라이즈드하이알루로닉애씨드, 펜틸렌글라이콜, 소듐폴리아크릴로일다이메틸타우레이트, 글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 카프릴릴글라이콜, 에틸헥실글리세린, 다이포타슘글리시리제이트, 아데노신, 소듐파이테이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 소듐폴리아크릴레이트, 부틸렌글라이콜, 소듐클로라이드, 토코페롤, 소듐바이카보네이트, 칼슘클로라이드, 포타슘클로라이드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '상처가 있는 부위 등에는 사용을 자제할 것', '보관 및 취급 시의 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '*사용 전에 반드시 사용법 및 사용 시의 주의사항을 숙지하신 후 사용하십시오.', ""품질보증기준 본 제품에 이상이 있을 경우 공정거래 위원회 고시 '소비자 분쟁해결 기준'에 의해 보상해드립니다."", '소비자상담 전화번호 1577-0719']","['./prdimgs/page_10_prd_6_thumb1.jpg', './prdimgs/page_10_prd_6_thumb2.jpg', './prdimgs/page_10_prd_6_thumb3.jpg']"
닥터멜락신 비피 포어 앰플 30ml,닥터멜락신,"34,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부타입', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 본 품 적당량을 취해 피부에 골고루 펴 바른다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)비앤비코리아, (주)브랜드501', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 버지니아풍년화잎수, 부틸렌글라이콜, 알로에베라잎추출물, 프로판다이올, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 판테놀, 소듐카보머,소듐하이알루로네이트, 정제수, 에틸헥실글리세린, 아데노신, 소듐파이테이트, 인도멀구슬나무잎추출물, 흰목이버섯추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 파파야열매추출물, 매실추출물, 사과추출물, 포도추출물, 알로에베라꽃추출물, 가지열매추출물, 에필로비움 플레이스케리추출물, 하이드로제네이티드레시틴, 홀리바질잎추출물, 세라마이드엔피, 참산호말추출물, 울금뿌리추출물, 콜레스테롤, 하이드롤라이즈드해면, 마카다미아씨오일, 호호바씨오일, 트라넥사믹애씨드, 유채스테롤, 토코페롤, 시트릭애씨드, 알에이치-올리고펩타이드-1, 알에이치폴리펩타이드-1', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것 4) 눈 주위를 피하여 사용할 것. 만약 이상이 생겼을 경우 전문의와 상의하세요.', '품질보증기준 관련법 및 소비자분쟁해결 규정에 따름', '소비자상담 전화번호 02-540-2493']",['./prdimgs/page_10_prd_7_thumb1.jpg']
[소윤 PICK] 이니스프리 비타C 그린티 엔자임 세럼 50ml 기획 (+마리떼 귀마개),이니스프리,"56,000","['내용물의 용량 또는 중량 세럼(+마리떼 귀마개) 또는 세럼(+마리떼 귀마개/데님백)', '제품 주요 사양 모든 피부', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월 / 개봉후 12개월 (상품 발송일 기준으로 사용 기한이 1년 이상 남은 상품만을 판매 합니다)', '사용방법 에센스 단계에서 얼굴 안쪽에서 바깥 쪽으로 손 끝을 이용해 부드럽게 마사지하여 유효 성분이 잘 흡수되도록 해줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ㈜코스비전 / ㈜이니스프리', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 3-O-에틸아스코빅애씨드(20,000 ppm), 베타인, 에리스리톨, 부틸렌글라이콜, 락토바실러스발효용해물, 스쿠알란, 해바라기씨오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 덱스트린, 잔탄검, 트로메타민, 글루코노락톤, 만다린껍질추출물, 판테놀, 카르노신, 나이아신아마이드, 알란토인, 하이알루로닉애씨드, 카프릴릭/카프릭트라이글리세라이드, 당근추출물, 펜틸렌글라이콜, 소듐메타포스페이트, 실리카다이메틸실릴레이트, 토코페롤, 에틸헥실글리세린, 사이클로덱스트린, 마데카소사이드, 아스코빌테트라이소팔미테이트(100 ppm), 흰버드나무껍질추출물, 다이포타슘글리시리제이트, 프로테아제(100 ppm), 트라넥사믹애씨드, 글루타티온, 서양톱풀추출물, 소듐하이알루로네이트, 베타-카로틴, 페룰릭애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 [사용할 때의 주의사항] 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 2. 상처가 있는 부위 등에는 사용을 자제할 것 3. 보관 및 취급 시 주의 사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것 4. 이 제품은 윌로우박추출물 내 살리실릭애씨드 및 그 염류를 함유하고 있으므로 만 3세 이하 어린이에게는 사용하지 말 것', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상해 드립니다.', '소비자상담 전화번호 이니스프리 080-380-0114']","['./prdimgs/page_10_prd_8_thumb1.jpg', './prdimgs/page_10_prd_8_thumb2.jpg', './prdimgs/page_10_prd_8_thumb3.jpg', './prdimgs/page_10_prd_8_thumb4.jpg']"
[한정기획] 피지오겔 데일리뮨 클래리파잉 에센스 70ml+앰플4ml+마스크팩1매 증정 기획,피지오겔,"36,000","['내용물의 용량 또는 중량 에센스 70ml+앰플4ml+마스크팩1매', '제품 주요 사양 모든피부용', '사용기한(또는 개봉 후 사용기간) 제조일자로부터 24개월', '사용방법 사용 전 두 에센스 층이 잘 섞이도록 흔들어 준 뒤, 아침 저녁 세안 후 스킨케어 첫 단계에서 적당량을 덜어 얼굴 및 목 피부에 피부결을 따라 부드럽게 펴 발라 주세요', '', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ■ (주)엘지생활건강', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 ""정제수, 펜틸렌글라이콜, 아이소헥사데칸, 부틸렌글라이콜, 변성알코올, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 카르니틴, 프로테아제, 판테놀, 베타인, 시트릭애씨드, 하이드로제네이티드레시틴, 스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 세라마이드엔피, 소듐클로라이드', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 나. 상처가 있는 부위 등에는 사용을 자제할 것 다. 보관 및 취급 시 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2. 직사광선을 피해서 보관할 것', '품질보증기준 본제품은 공정거래위원회 고시에 의거 보상받을수 있습니다..', '소비자상담 전화번호 080-023-7007']","['./prdimgs/page_10_prd_9_thumb1.jpg', './prdimgs/page_10_prd_9_thumb2.jpg', './prdimgs/page_10_prd_9_thumb3.jpg', './prdimgs/page_10_prd_9_thumb4.jpg']"
