,제품명,브랜드,가격,상품정보,썸네일
0,앰플엔 블레미샷 잡티앰플 50ml,앰플엔,"36,000","['내용물의 용량 또는 중량 50ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월, 개봉후 12개월', '사용방법 토너 다음 단계에서 적당량을 덜어 얼굴 전체에 마사지하듯 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조업자:㈜코리아나화장품, 책임판매업자:㈜코리아나화장품', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 나이아신아마이드, 글리세린, 다이프로필렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 글루코노락톤, 프로판다이올, 아스코빌테트라이소팔미테이트, 아데노신, 카프릴로일살리실릭애씨드, 판테놀, 비파나무잎추출물, 마데카소사이드, 스피어민트추출물, 비타민나무열매추출물, 흑효모발효물, 헥실레조시놀, 베타인, 세테아릴올리베이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아크릴레이트크로스폴리머-6, 솔비탄올리베이트, 카프릴릴글라이콜, 잔탄검, 트로메타민, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 1,2-헥산다이올, 글루코실루틴, 다이소듐이디티에이, 에틸헥실글리세린', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', ""품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시 '소비자분쟁해결기준'에 의거 보상해 드립니다."", '소비자상담 전화번호 080-022-5013']","['./prdimgs/page_14_prd_0_thumb1.jpg', './prdimgs/page_14_prd_0_thumb2.jpg', './prdimgs/page_14_prd_0_thumb3.jpg']"
1,올로스 우유 앰플 20ml,올로스,"21,000","['내용물의 용량 또는 중량 20ml', '제품 주요 사양 모든피부타입', '사용기한(또는 개봉 후 사용기간) 36개월', '사용방법 피부결 정리 후 얼굴과 목에 도포하여 부드럽게 러빙하여 흡수', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 올로스 / 팜스B&B', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, C12-15알킬벤조에이트, 글리세린, 라우릴글루코사이드, 폴리글리세릴-2디폴리하이드록시스테아레이트, 다이메티콘, 페녹시에탄올, 소듐스테아로일글루타메이트, 사카라이드아이소머레이트, 소듐폴리아크릴레이트, 버지니아풍년화잎수, 피나무꽃수, 잔탄검, 에틸헥실글리세린, 테트라소듐이디티에이, 소듐데하이드로아세테이트, 살구씨오일, 레시틴, 헥실신남알, 토코페롤, 시트릭애씨드, 리날룰, 소듐시트레이트, 아스코빌팔미테이트, 테트라소듐글루타메이트다이아세테이트, 토마토열매/잎/줄기추출물, 해바라기씨오일, 로즈마리잎추출물, 향료, 시트로넬올', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 공통사항 가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어 오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 나. 상처가 있는 부위 등에는 사용을 자제할 것 다. 보관 및 취급 시 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것 2. 그 밖에 화장품의 안전정보와 관련하여 화장품의 유형별ㆍ함유 성분별로 식품 의약품안전처장이 정하여 고시하는 사항', ""품질보증기준 본 제품에 이상이 있을 시에는 공정거래위원회 고시 '소비자 분쟁 해결 기준'에 의해 보상해 드립니다."", '소비자상담 전화번호 032-217-2050']","['./prdimgs/page_14_prd_1_thumb1.jpg', './prdimgs/page_14_prd_1_thumb2.jpg']"
2,바이오힐보 비타민 토닝 기미잡티세럼 30mL 더블 기획,바이오힐보,"52,200","['내용물의 용량 또는 중량 ■기미잡티세럼 30mLX2', '제품 주요 사양 ■ 모든 피부 타입용', '사용기한(또는 개봉 후 사용기간) ■ 제조일로부터 36개월 이내의 상품을 순차적으로 발송, 사용기한 제품에 별도 표기', '사용방법 매일 아침과 저녁, 스킨소프너나 토너 사용 후 내용물을 적당량 덜어 피부결을 따라 부드럽게 펴 바른 후 가볍게 두드려 흡수시켜 줍니다', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ■ 책임판매업자: 씨제이올리브영 주식회사 제조업자: 코스맥스', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 비피다발효용해물, 글리세린, 나이아신아마이드(50,000ppm)*, 프로판다이올, 다이프로필렌글라이콜, 트라넥사믹애씨드, 부틸렌글라이콜, 글리세레스-26, 에탄올, 1,2-헥산다이올, 알부틴, 에칠아스코빌에텔(10,000ppm)*, 비타민나무열매추출물(20ppm)*, 클로렐라 불가리스추출물, 아이리쉬모스추출물, 사탕수수추출물, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 울금뿌리추출물, 홀리바질잎추출물, 리씨열매오일, 베르가모트오일, 오렌지껍질오일, 참산호말추출물, 라반딘오일, 광곽향오일, 유칼립투스잎오일, 콘민트오일, 센티드제라늄꽃오일, 캐모마일꽃오일, 보리지씨오일, 글루코오스, 소듐폴리아크릴로일다이메틸타우레이트, 폴리글리세릴-10라우레이트, 프룩토올리고사카라이드, 프룩토오스, 소듐시트레이트, 에틸헥실글리세린, 아데노신, 시트릭애씨드, 토코페릴아세테이트(300ppm)*, 메틸프로판다이올, 알지닌, 토코페롤(0.25ppm)*, 4-부틸레조시놀, 덱스트린, 레시틴, 잔탄검, 리모넨(*비타민 성분 함량 6%)', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 ■ 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것', ""품질보증기준 ■ 본 제품에 이상이 있을 경우 공정거래위원회 고시 '소비자 분쟁 해결 기준'에 의해 교환 또는 보상해 드립니다."", '소비자상담 전화번호 ■ 1577-4887']","['./prdimgs/page_14_prd_2_thumb1.jpg', './prdimgs/page_14_prd_2_thumb2.jpg']"
3,웰라쥬 리얼 시카카밍 원데이키트 7개입,웰라쥬,"39,700","['내용물의 용량 또는 중량 원데이키트7ea(캡슐15mg*7+솔루션1ml*7)', '제품 주요 사양 모든 피부 사용가능', '사용기한(또는 개봉 후 사용기간) 제조일로부터 36개월', '사용방법 ""1. 세안 후 토너로 피부결을 정돈합니다.', '2. 캡슐 한 알을 개봉하여 솔루션을 얼굴 전체에 도포할 만큼 충분히 취해 캡슐에 떨어트려 줍니다.', '3. 액상 형태로 변한 캡슐을 피부에 고루 펴 발라 흡수시켜 줍니다.', '4. 그대로 스킨케어를 마무리 하거나 건조한 피부타입의 경우 로션이나 크림 단계를 추가하셔도 좋습니다.""', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 캡슐 : ㈜블리스팩, 솔루션 : 한국콜마㈜ / 휴젤㈜', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 ""1) 웰라쥬 리얼 에이치에이 시카 클리어 캡슐', '소듐하이알루로네이트, 알진, 하이드록시프로필사이클로덱스트린, 마데카소사이드(1%)', '', '2) 웰라쥬 리얼 에이치에이 시카 클리어 솔루션', '정제수, 다이프로필렌글라이콜, 프로판다이올, 부틸렌글라이콜, 1,2-헥산다이올, 펜틸렌글라이콜, 나이아신아마이드, C12-14파레스-12, 이노시톨, 글리세린, C12-14파레스-7, 트레할로오스, 소듐시트레이트, 에틸헥실글리세린, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 시트릭애씨드, 아데노신, 다이소듐이디티에이, 울금뿌리추출물, 홀리바질잎추출물, 병풀추출물(145ppm), 병풀뿌리추출물(100pm), 병풀잎추출물(100pm), 효모발효물, 하이드로제네이티드레시틴, 무화과추출물, 참산호말추출물, 폴리글리세릴-10라우레이트, 폴리글리세릴-5폴리리시놀리에이트, 아시아티코사이드(9,000ppb), 세라마이드엔피, 마데카소사이드(5,010ppb), 소듐스테아로일글루타메이트, 레시틴, 락토바실러스발효물, 소듐하이알루로네이트, 토코페롤, 스피드웰추출물, 오이풀뿌리추출물, 마데카식애씨드(10ppb), 아시아틱애씨드(10ppb) ""', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 본 제품에 이상이 있을 경우, 공정거래위원회 고시에 의거 보상해드립니다.', '소비자상담 전화번호 1544-5339 운영시간 : 09:00 ~ 18:00 (점심시간 제외, 12~13시) (주말, 공휴일 제외)']","['./prdimgs/page_14_prd_3_thumb1.jpg', './prdimgs/page_14_prd_3_thumb2.jpg']"
4,메디필 레드 락토 콜라겐 앰플 70ml,메디필,"24,000","['내용물의 용량 또는 중량 70ml', '제품 주요 사양 모든피부타입', '사용기한(또는 개봉 후 사용기간) 36개월', '사용방법 토너 사용 후 적당량을 덜어 피부결 안쪽에서 바깥쪽으로 얼굴 전체에 부드럽게 펴 바릅니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 주식회사 뉴앤뉴 / 주식회사 스킨이데아', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 글리세린, 사이클로헥사실록세인, 다이글리세린, 부틸렌글라이콜, 아이소프로필팔미테이트, 1,2-헥산다이올, 나이아신아마이드, 락토바실러스발효물, 폴리글리세릴-10라우레이트, 알지닌, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 비피다발효여과물, 락토코쿠스발효물, 스위트아몬드오일, 하이드롤라이즈드콜라겐, 감나무잎추출물, 포도추출물, 커피콩추출물, 잇꽃꽃추출물, 호장근뿌리추출물, 아데노신, 녹차추출물, 밤껍질추출물, 초피나무열매추출물, 폴리쿼터늄-51, 콘민트오일, 다이소듐이디티에이, 바추잎잎추출물, 소듐하이알루로네이트, 다마스크장미꽃수, 칡뿌리추출물, 당느릅나무뿌리추출물, 대왕송잎추출물, 달맞이꽃추출물, 에틸헥실글리세린, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 하이드롤라이즈드하이알루로닉애씨드, 알라닌, 라이신, 타이로신, 페닐알라닌, 트레오닌, 발린, 프롤린, 아이소류신, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 히스티딘, 메티오닌, 시스테인, 팔미토일트라이펩타이드-5, 소듐아세틸레이티드하이알루로네이트', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1. 공통사항', '가. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어', '오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과', '상담할 것', '나. 상처가 있는 부위 등에는 사용을 자제할 것', '다. 보관 및 취급 시 주의사항', '1) 어린이의 손이 닿지 않는 곳에 보관할 것', '2) 직사광선을 피해서 보관할 것', '2. 그 밖에 화장품의 안전정보와 관련하여 화장품의 유형별ㆍ함유 성분별로 식품', '의약품안전처장이 정하여 고시하는 사항', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자 분쟁 해결 기준에 따라 교환 및 환불 받을 수 있습니다.', '소비자상담 전화번호 070-4820-2663']","['./prdimgs/page_14_prd_4_thumb1.jpg', './prdimgs/page_14_prd_4_thumb2.jpg', './prdimgs/page_14_prd_4_thumb3.jpg']"
5,바이오힐보 비타민 토닝 기미잡티세럼 30mL 기획 (세럼 7mL 증정),바이오힐보,"29,000","['내용물의 용량 또는 중량 ■기미잡티세럼(본)30mL+(증)7mL', '제품 주요 사양 ■ 모든 피부 타입용', '사용기한(또는 개봉 후 사용기간) ■ 제조일로부터 36개월 이내의 상품을 순차적으로 발송, 사용기한 제품에 별도 표기', '사용방법 매일 아침과 저녁, 스킨이나 토너 사용 후 내용물을 적당량 덜어 피부결을 따라 부드럽게 펴 바른 후 가볍게 두드려 흡수시켜 줍니다', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 ■ 책임판매업자: 씨제이올리브영 주식회사 제조업자: 코스맥스', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 비피다발효용해물, 글리세린, 나이아신아마이드(50,000ppm)*, 프로판다이올, 다이프로필렌글라이콜, 트라넥사믹애씨드, 부틸렌글라이콜, 글리세레스-26, 에탄올, 1,2-헥산다이올, 알부틴, 에칠아스코빌에텔(10,000ppm)*, 비타민나무열매추출물(20ppm)*, 클로렐라 불가리스추출물, 아이리쉬모스추출물, 사탕수수추출물, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 울금뿌리추출물, 홀리바질잎추출물, 리씨열매오일, 베르가모트오일, 오렌지껍질오일, 참산호말추출물, 라반딘오일, 광곽향오일, 유칼립투스잎오일, 콘민트오일, 센티드제라늄꽃오일, 캐모마일꽃오일, 보리지씨오일, 글루코오스, 소듐폴리아크릴로일다이메틸타우레이트, 폴리글리세릴-10라우레이트, 프룩토올리고사카라이드, 프룩토오스, 소듐시트레이트, 에틸헥실글리세린, 아데노신, 시트릭애씨드, 토코페릴아세테이트(300ppm)*, 메틸프로판다이올, 알지닌, 토코페롤(0.25ppm)*, 4-부틸레조시놀, 덱스트린, 레시틴, 잔탄검, 리모넨(*비타민 성분 함량 6%)', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 ■ 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것 3) 보관 및 취급 시 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것', ""품질보증기준 ■ 본 제품에 이상이 있을 경우 공정거래위원회 고시 '소비자 분쟁 해결 기준'에 의해 교환 또는 보상해 드립니다."", '소비자상담 전화번호 ■ 1577-4887']","['./prdimgs/page_14_prd_5_thumb1.jpg', './prdimgs/page_14_prd_5_thumb2.jpg']"
6,[아름송이PICK] 에스테덤 셀룰러 워터 에센스 125ml (주름개선기능성),에스테덤,"59,000","['내용물의 용량 또는 중량 125ml', '제품 주요 사양 모든 피부용', '사용기한(또는 개봉 후 사용기간) 개봉후 6개월 이내 사용 권장', '사용방법 세안 후 첫 단계 또는 셀룰러워터 미스트 사용 후, 손바닥에 적당량을 덜어 마사지하듯 흡수시켜 줍니다.', '건조함이 느껴질 땐, 2~3회 레이어링하여 사용하면 더욱 좋습니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조업자: NAOS(FRANCE) 화장품책임판매업자: 나오스코리아 유한회사', '제조국 프랑스', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 부틸렌글라이콜, 메틸프로판다이올, 피이지-7글리세릴코코에이트, 펜틸렌글라이콜, 피이지-40하이드로제네이티드캐스터오일, 소듐시트레이트, 소듐하이알루로네이트, 시트릭애씨드, 1,2-헥산다이올, 카프릴릴글라이콜, 카르노신, 소듐클로라이드, 잔탄검, 효모추출물, 헥실데칸올, 향료, 프로필렌글라이콜, 아미노에탄설피닉애씨드, 아데노신, 포타슘클로라이드, 소듐바이카보네이트, 다이소듐포스페이트, 마그네슘설페이트, 포타슘포스페이트, 다이소듐아데노신트라이포스페이트, 호스테일켈프추출물, 사과씨추출물, 유채스테롤, 칼슘클로라이드, 토코페롤, 리날룰', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 같은 부위에 연속해서 3초 이상 분사하지 말 것', '4) 가능하면 인체에서 20센티미터 이상 떨어져서 사용할 것', '5) 눈 주위 또는 점막 등에 분사하지 말 것', '6) 분사가스는 직접 흡입하지 않도록 주의할 것', '7) 보관 및 취급 시의 주의사항', '가. 어린이의 손이 닿지 않는 곳에 보관할 것', '나. 직사광선을 피해서 보관할 것', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시「품목별 소비자 분쟁해결기준」에 의해 보상해 드립니다.', '소비자상담 전화번호 02-523-7676']","['./prdimgs/page_14_prd_6_thumb1.jpg', './prdimgs/page_14_prd_6_thumb2.jpg', './prdimgs/page_14_prd_6_thumb3.jpg', './prdimgs/page_14_prd_6_thumb4.jpg', './prdimgs/page_14_prd_6_thumb5.jpg', './prdimgs/page_14_prd_6_thumb6.jpg']"
7,차앤박(CNP) 히알루로닉 더마텐션 세럼 더블용량 기획(30ml+15ml*2EA),차앤박,"40,000","['내용물의 용량 또는 중량 본품 30ml + 비매품 15ml * 2개', '제품 주요 사양 모든피부용', '사용기한(또는 개봉 후 사용기간) 36개월/개봉후 12개월', '사용방법 세안 후 물기 없는 얼굴에 적당량을 덜어 눈가,입가를 제외한 얼굴 전체체 펴 발라 줍니다.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)LG생활건강/(주)LG생활건강', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 정제수, 다이프로필렌글라이콜, 프로판다이올, 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린, 글리세린, 다이메티콘, 나이아신아마이드, 1,2-헥산다이올, 페닐트라이메티콘, 하이알루로닉애씨드(7,000.25ppm), 알로에베라잎추출물, 소듐하이알루로네이트(3,076ppm), 하이드롤라이즈드콜라겐, 석시노일아텔로콜라겐, 글리세레스-25피씨에이아이소스테아레이트, 폴리아크릴레이트크로스폴리머-6, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리실리콘-11, 트로메타민, 스쿠알란, 하이드록시에틸셀룰로오스, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 알란토인, 붉나무추출물, 잔탄검, 부틸렌글라이콜, 아데노신, 락토바실러스발효물, 울금뿌리추출물, 한련초추출물, 폴리솔베이트60, 소듐하이알루로네이트크로스폴리머(250ppm), 하이드롤라이즈드글라이코사미노글리칸, 솔비탄아이소스테아레이트, t-부틸알코올, 벤질글라이콜, 펜틸렌글라이콜, 하이드롤라이즈드하이알루로닉애씨드(12.5ppm), 소듐아세틸레이티드하이알루로네이트(10ppm), 하이드록시프로필트라이모늄하이알루로네이트(10ppm), 에틸헥실글리세린, 포타슘포스페이트, 다이소듐포스페이트, 플로레틴, 라즈베리케톤, 트라이소듐이디티에이, 향료', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '품질보증기준 1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것', '2) 상처가 있는 부위 등에는 사용을 자제할 것', '3) 보관 및 취급 시의 주의사항', '가) 어린이의 손이 닿지 않는 곳에 보관할 것', '나) 직사광선을 피해서 보관할 것', '소비자상담 전화번호 080-023-7007']","['./prdimgs/page_14_prd_7_thumb1.jpg', './prdimgs/page_14_prd_7_thumb2.jpg', './prdimgs/page_14_prd_7_thumb3.jpg', './prdimgs/page_14_prd_7_thumb4.jpg', './prdimgs/page_14_prd_7_thumb5.jpg']"
8,한율 달빛유자C세럼 기획 (본품30ml+세럼8ml+클렌징폼32g 증정),한율,"37,000","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 매일 쌓이는 ‘칙칙함, 축축처짐, 푸석함’ 3가지 피부 피로 흔적을 지우는 유자C 생기 캡슐™ + 비타민 5종 + 타우린 1,000 ppm을 담은 바르는 유자C 멀티 비타민', '사용기한(또는 개봉 후 사용기간) 개봉 전 36개월 개봉 후 12개월', '사용방법 아침, 저녁 크림 사용 전 단계에서 듬-뿍 펴 바르고', '톡톡 두르려 흡수시켜주세요. 손바닥에 남은 달빛', '유자 잔향으로 마음까지 편안하게 케어하세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 (주)아모레퍼시픽', '제조국 대한민국', '화장품법에 따라 기재해야 하는 모든 성분 ""정제수, 부틸렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 나이아신아마이드', '(비타민B3), 1,2-헥산다이올, 천궁수, 왜당귀뿌리수, 베헤닐알코올, 판테놀(비타민B5), 해바', '라기씨오일, 리모넨, 유자껍질오일(5,000 ppm), 트로메타민, 카보머, 아크릴레이트/C10-30', '알킬아크릴레이트크로스폴리머, 당근추출물, 타우린(1,000 ppm), 에틸헥실글리세린, 아데', '노신, 유자추출물(262 ppm), 다이소듐이디티에이, 리날룰, 에칠아스코빌에텔(100 ppm),', '탱자추출물, 베타-카로틴(비타민A*), 토코페롤(비타민E), 아스코빅애씨드(비타민C), 유자', '껍질추출물(6 ppm) * 비타민A 전구체 베타-카로틴""', '기능성 화장품 식품의약품안전처 심사필 여부 화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함', '사용할 때의 주의사항 ""1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가', '붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담하십시오. 2. 상처 가 있는 부위', '등에는 사용을 자제하십시오. 3. 보관 및 취급 시의 주의사항', '1)어린이의 손이 닿지 않는 곳에 보관하고, 삼켰을 경우 즉시', '전문의와 상담하십시오. 2)직사광선을 피해서 보관하십시오.""', '품질보증기준 본 제품에 이상이 있을 경우 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상해 드립니다.', '소비자상담 전화번호 080-030-5454(수신자 요금부담) 운영시간 : 09:00 ~ 18:00 (점심시간 제외, 12~13시) (주말, 공휴일 제외)']","['./prdimgs/page_14_prd_8_thumb1.jpg', './prdimgs/page_14_prd_8_thumb2.jpg']"
9,디오디너리 레티놀 1% 인 스쿠알란 30ml,디오디너리,"12,300","['내용물의 용량 또는 중량 30ml', '제품 주요 사양 모든 피부 타입', '사용기한(또는 개봉 후 사용기간) 개봉 전 36개월, 개봉 후 3개월(제조연월 별도표기)', '사용방법 스킨케어 루틴의 일부로서 저녁에 워터 베이스 세럼 사용 후, 무거운 트리트먼트의 사용 전에 소량을 얼굴 전체에 발라주세요. 다른 레티노이드 트리트먼트와 함께 사용하지 마세요. 자외선 차단제를 꼭 사용해주세요. 주의사항: 레티놀은 사용 초기, 피부의 내성이 생기는 과정에서 피부에(특히 눈과 입 주변에) 자극과 홍조, 박피 현상을 유발할 수 있습니다. 자극이 지속적으로 발생할 경우 사용을 중단하고 의사와 상의하시기 바랍니다. 손상되지 않은 피부에 지시된 대로만 사용하세요. 사용 전 패치 테스트를 권장합니다. 패치 테스팅 가이드 카드 또는 당사 웹사이트의 패치 테스트 상세 가이드를 참조하세요. 어린이의 손이 닿지 않는 곳에 보관합니다. 개봉 후 냉장보관하세요.', '화장품제조업자,화장품책임판매업자 및 맞춤형화장품판매업자 제조원 : 데시엠뷰티그룹INC / 책임판매업자: 데시엠아시아퍼시픽㈜', '제조국 캐나다', '화장품법에 따라 기재해야 하는 모든 성분 스쿠알란,카프릴릭/카프릭트라이글리세라이드,호호바씨오일,레티놀(1%),토마추출물,로즈마리잎추출물,하이드록시메톡시페닐데카논,비에이치티', '기능성 화장품 식품의약품안전처 심사필 여부 해당사항 없음', '사용할 때의 주의사항 1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우에는 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것.서 보관할 것. 3. 보관 및 취급 시 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것. 나) 직사광선을 피해서 보관할 것.', '품질보증기준 본 제품은 공정거래위원회 고시 소비자 분쟁 해결기준에 의거 교환 또는 보상 받을 수 있습니다.', '소비자상담 전화번호 070-7775-2612']",['./prdimgs/page_14_prd_9_thumb1.jpg']
