eigenvalue,% of variance,% of variance (cumulative)
0.024,1.48%,1.48%
0.020,1.25%,2.73%
0.015,0.94%,3.67%
0.015,0.91%,4.58%
0.014,0.86%,5.45%
0.013,0.80%,6.25%
0.012,0.74%,6.99%
0.012,0.72%,7.71%
0.011,0.70%,8.41%
0.011,0.65%,9.06%
0.010,0.63%,9.69%
0.010,0.60%,10.29%
0.010,0.59%,10.88%
0.009,0.58%,11.46%
0.009,0.57%,12.03%
0.009,0.56%,12.59%
0.009,0.55%,13.13%
0.009,0.54%,13.68%
0.009,0.53%,14.21%
0.009,0.53%,14.74%
0.008,0.52%,15.25%
0.008,0.51%,15.76%
0.008,0.51%,16.27%
0.008,0.50%,16.77%
0.008,0.49%,17.26%
0.008,0.49%,17.75%
0.008,0.49%,18.24%
0.008,0.47%,18.71%
0.008,0.47%,19.17%
0.008,0.46%,19.64%
0.007,0.46%,20.09%
0.007,0.45%,20.54%
0.007,0.44%,20.98%
0.007,0.44%,21.42%
0.007,0.44%,21.86%
0.007,0.43%,22.30%
0.007,0.42%,22.72%
0.007,0.41%,23.13%
0.007,0.41%,23.55%
0.007,0.41%,23.95%
0.007,0.40%,24.35%
0.006,0.40%,24.75%
0.006,0.40%,25.15%
0.006,0.39%,25.54%
0.006,0.38%,25.92%
0.006,0.38%,26.30%
0.006,0.38%,26.68%
0.006,0.37%,27.05%
0.006,0.36%,27.41%
0.006,0.36%,27.77%
0.006,0.35%,28.12%
0.006,0.35%,28.47%
0.006,0.35%,28.82%
0.006,0.34%,29.16%
0.005,0.34%,29.50%
0.005,0.33%,29.83%
0.005,0.33%,30.16%
0.005,0.33%,30.49%
0.005,0.33%,30.81%
0.005,0.32%,31.14%
0.005,0.32%,31.46%
0.005,0.32%,31.78%
0.005,0.31%,32.09%
0.005,0.31%,32.40%
0.005,0.31%,32.71%
0.005,0.31%,33.02%
0.005,0.31%,33.32%
0.005,0.30%,33.62%
0.005,0.30%,33.92%
0.005,0.30%,34.22%
0.005,0.30%,34.52%
0.005,0.29%,34.81%
0.005,0.29%,35.10%
0.005,0.29%,35.38%
0.005,0.29%,35.67%
0.005,0.28%,35.95%
0.005,0.28%,36.23%
0.005,0.28%,36.51%
0.004,0.27%,36.78%
0.004,0.27%,37.05%
0.004,0.27%,37.32%
0.004,0.27%,37.59%
0.004,0.26%,37.86%
0.004,0.26%,38.12%
0.004,0.26%,38.37%
0.004,0.26%,38.63%
0.004,0.25%,38.88%
0.004,0.25%,39.14%
0.004,0.25%,39.39%
0.004,0.25%,39.63%
0.004,0.24%,39.88%
0.004,0.24%,40.12%
0.004,0.24%,40.36%
0.004,0.24%,40.60%
0.004,0.23%,40.83%
0.004,0.23%,41.06%
0.004,0.23%,41.30%
0.004,0.23%,41.53%
0.004,0.23%,41.75%
0.004,0.23%,41.98%
0.004,0.22%,42.20%
0.004,0.22%,42.42%
0.004,0.22%,42.64%
0.004,0.22%,42.86%
0.004,0.22%,43.08%
0.004,0.22%,43.30%
0.004,0.22%,43.52%
0.004,0.22%,43.73%
0.003,0.21%,43.95%
0.003,0.21%,44.16%
0.003,0.21%,44.37%
0.003,0.21%,44.58%
0.003,0.21%,44.79%
0.003,0.21%,45.00%
0.003,0.21%,45.20%
0.003,0.21%,45.41%
0.003,0.21%,45.62%
0.003,0.20%,45.82%
0.003,0.20%,46.02%
0.003,0.20%,46.23%
0.003,0.20%,46.42%
0.003,0.20%,46.62%
0.003,0.20%,46.82%
0.003,0.20%,47.02%
0.003,0.19%,47.21%
0.003,0.19%,47.40%
0.003,0.19%,47.59%
0.003,0.19%,47.79%
0.003,0.19%,47.97%
0.003,0.19%,48.16%
0.003,0.19%,48.35%
0.003,0.19%,48.53%
0.003,0.18%,48.72%
0.003,0.18%,48.90%
0.003,0.18%,49.08%
0.003,0.18%,49.26%
0.003,0.18%,49.44%
0.003,0.18%,49.61%
0.003,0.18%,49.79%
0.003,0.17%,49.96%
0.003,0.17%,50.14%
0.003,0.17%,50.31%
0.003,0.17%,50.48%
0.003,0.17%,50.65%
0.003,0.17%,50.82%
0.003,0.17%,50.99%
0.003,0.17%,51.16%
0.003,0.16%,51.32%
0.003,0.16%,51.48%
0.003,0.16%,51.65%
0.003,0.16%,51.81%
0.003,0.16%,51.97%
0.003,0.16%,52.13%
0.003,0.16%,52.29%
0.003,0.16%,52.45%
0.003,0.16%,52.61%
0.003,0.16%,52.76%
0.003,0.15%,52.92%
0.003,0.15%,53.07%
0.002,0.15%,53.23%
0.002,0.15%,53.38%
0.002,0.15%,53.53%
0.002,0.15%,53.68%
0.002,0.15%,53.83%
0.002,0.15%,53.98%
0.002,0.15%,54.13%
0.002,0.15%,54.28%
0.002,0.15%,54.43%
0.002,0.15%,54.57%
0.002,0.15%,54.72%
0.002,0.15%,54.87%
0.002,0.14%,55.01%
0.002,0.14%,55.15%
0.002,0.14%,55.30%
0.002,0.14%,55.44%
0.002,0.14%,55.58%
0.002,0.14%,55.72%
0.002,0.14%,55.86%
0.002,0.14%,55.99%
0.002,0.14%,56.13%
0.002,0.14%,56.27%
0.002,0.14%,56.40%
0.002,0.14%,56.54%
0.002,0.13%,56.67%
0.002,0.13%,56.81%
0.002,0.13%,56.94%
0.002,0.13%,57.07%
0.002,0.13%,57.20%
0.002,0.13%,57.33%
0.002,0.13%,57.46%
0.002,0.13%,57.59%
0.002,0.13%,57.72%
0.002,0.13%,57.84%
0.002,0.13%,57.97%
0.002,0.13%,58.10%
0.002,0.12%,58.22%
0.002,0.12%,58.34%
0.002,0.12%,58.47%
0.002,0.12%,58.59%
0.002,0.12%,58.71%
0.002,0.12%,58.83%
0.002,0.12%,58.95%
0.002,0.12%,59.08%
0.002,0.12%,59.20%
0.002,0.12%,59.31%
0.002,0.12%,59.43%
0.002,0.12%,59.55%
0.002,0.12%,59.67%
0.002,0.12%,59.78%
0.002,0.12%,59.90%
0.002,0.11%,60.01%
0.002,0.11%,60.13%
0.002,0.11%,60.24%
0.002,0.11%,60.35%
0.002,0.11%,60.47%
0.002,0.11%,60.58%
0.002,0.11%,60.69%
0.002,0.11%,60.80%
0.002,0.11%,60.91%
0.002,0.11%,61.02%
0.002,0.11%,61.12%
0.002,0.11%,61.23%
0.002,0.11%,61.34%
0.002,0.11%,61.44%
0.002,0.11%,61.55%
0.002,0.10%,61.65%
0.002,0.10%,61.76%
0.002,0.10%,61.86%
0.002,0.10%,61.97%
0.002,0.10%,62.07%
0.002,0.10%,62.17%
0.002,0.10%,62.27%
0.002,0.10%,62.38%
0.002,0.10%,62.48%
0.002,0.10%,62.58%
0.002,0.10%,62.68%
0.002,0.10%,62.78%
0.002,0.10%,62.87%
0.002,0.10%,62.97%
0.002,0.10%,63.07%
0.002,0.10%,63.17%
0.002,0.10%,63.26%
0.002,0.10%,63.36%
0.002,0.10%,63.46%
0.002,0.09%,63.55%
0.002,0.09%,63.64%
0.002,0.09%,63.74%
0.002,0.09%,63.83%
0.002,0.09%,63.92%
0.002,0.09%,64.02%
0.001,0.09%,64.11%
0.001,0.09%,64.20%
0.001,0.09%,64.29%
0.001,0.09%,64.38%
0.001,0.09%,64.47%
0.001,0.09%,64.56%
0.001,0.09%,64.65%
0.001,0.09%,64.74%
0.001,0.09%,64.83%
0.001,0.09%,64.92%
0.001,0.09%,65.00%
0.001,0.09%,65.09%
0.001,0.09%,65.18%
0.001,0.09%,65.26%
0.001,0.09%,65.35%
0.001,0.09%,65.43%
0.001,0.09%,65.52%
0.001,0.08%,65.60%
0.001,0.08%,65.69%
0.001,0.08%,65.77%
0.001,0.08%,65.86%
0.001,0.08%,65.94%
0.001,0.08%,66.02%
0.001,0.08%,66.10%
0.001,0.08%,66.18%
0.001,0.08%,66.27%
0.001,0.08%,66.35%
0.001,0.08%,66.43%
0.001,0.08%,66.51%
0.001,0.08%,66.59%
0.001,0.08%,66.67%
0.001,0.08%,66.75%
0.001,0.08%,66.82%
0.001,0.08%,66.90%
0.001,0.08%,66.98%
0.001,0.08%,67.06%
0.001,0.08%,67.14%
0.001,0.08%,67.21%
0.001,0.08%,67.29%
0.001,0.08%,67.37%
0.001,0.08%,67.44%
0.001,0.08%,67.52%
0.001,0.08%,67.59%
0.001,0.08%,67.67%
0.001,0.07%,67.74%
0.001,0.07%,67.82%
0.001,0.07%,67.89%
0.001,0.07%,67.97%
0.001,0.07%,68.04%
0.001,0.07%,68.11%
0.001,0.07%,68.19%
0.001,0.07%,68.26%
0.001,0.07%,68.33%
0.001,0.07%,68.41%
0.001,0.07%,68.48%
0.001,0.07%,68.55%
0.001,0.07%,68.62%
0.001,0.07%,68.69%
0.001,0.07%,68.76%
0.001,0.07%,68.83%
0.001,0.07%,68.90%
0.001,0.07%,68.97%
0.001,0.07%,69.04%
0.001,0.07%,69.11%
0.001,0.07%,69.18%
0.001,0.07%,69.25%
0.001,0.07%,69.32%
0.001,0.07%,69.39%
0.001,0.07%,69.46%
0.001,0.07%,69.53%
0.001,0.07%,69.60%
0.001,0.07%,69.66%
0.001,0.07%,69.73%
0.001,0.07%,69.80%
0.001,0.07%,69.86%
0.001,0.07%,69.93%
0.001,0.07%,70.00%
0.001,0.07%,70.06%
0.001,0.07%,70.13%
0.001,0.07%,70.20%
0.001,0.07%,70.26%
0.001,0.07%,70.33%
0.001,0.07%,70.39%
0.001,0.07%,70.46%
0.001,0.06%,70.52%
0.001,0.06%,70.59%
0.001,0.06%,70.65%
0.001,0.06%,70.72%
0.001,0.06%,70.78%
0.001,0.06%,70.84%
0.001,0.06%,70.91%
0.001,0.06%,70.97%
0.001,0.06%,71.03%
0.001,0.06%,71.10%
0.001,0.06%,71.16%
0.001,0.06%,71.22%
0.001,0.06%,71.28%
