question,answers
야생의 숨결 시작한지 일주일 정도 되었는데 순서가 있을까여?? 아니면 자유롭게 돌아다니면서 보이는 사당 클리어하고 어려운건 나중에 깨고 그런식으로 해도 앤딩 볼 수...,"['후자가 맞습니다. 그냥 눈에 보이는대로, 하고 싶은 대로 클리어할 수 있는 게임이고 그렇게 하라고 만들어놓은 게임입니다.\n굳이 순서를 추천드리자면 신수는 지도 왼쪽 위에 있는 바람의신수부터 깨고 왼쪽 아래에 있는 번개의 신수는 가장 나중에 깨는 것 정도? 이 정도만 개인적으로 추천드리고 나머지는 그냥 알아서 해도 무방해요. ']"
젤다의 전설 티얼스 오브더 킹덤 하는데 이상한 빨간손 같은게 5개씩 나와서 저를 공격해요 공격당하면 손에 잡히면서 생명력을 가져가는데 이거 뭐에요? 그래고 대처법은요?...,"['저같은 경우는 폭탄꽃으로 잡는데 \n잡으면 팬텀 가논이 나오기때문에 \n그냥 워프로 도망갑니다.', '그게 어렵죠 ㅠ', '독가마 라는 몹이고 류주의 현자의 힘이나 폭탄으로 공격하시면 되는데\n잡으면 팬텀가논이라고 더 센 놈 나와요. 이걸 못잡을 거 같으면\n독가마 나오면 높은 곳으로 무조건 도망 가세요.\n도망 가서 안보이는 곳 숨어있으면 알아서 어둠 덩어리 남겨두고 사라집니다.', '몬스터의 이름은 독기마 입니다.\n독기마가 지나간 자리는 독기가 깔리고, 속도가 꽤 빨라서 전력질주 만으로는 도망칠 수가 없다보니 멀리서 전기츄츄젤리 또는 화염츄츄젤리를 스크래빌드한 화살로 쏴서 공격하거나 폭탄꽃을 스크래빌드하여 잡는 것이 가장 빠릅니다.\n(애초에 이런 범위 공격이 가능한 소재를 스크래빌드하여 쏘면 타격지점이 광범위로 폭발하기 때문에 멀리서 맞추는 게 가장 좋음)\n활은 라이넬 또는, 야수왕 또는, 야수신의 활을 추천합니다.\n공격력 자체는 준수한 편이지만 화살과 스크래빌드한 소재를 하나씩만 소모하여 세 발의 화살이 동시에 나가는 가장 좋고 강력한 활입니다.\n없다면 이연궁도 그럭저럭 쓸만합니다.\n독기마를 모두 잡으면 해당 위치에 팬텀 가논이라는 필드 보스가 등장합니다.\n팬텀 가논 또한 활로 잡는 게 안전하고 빠릅니다.\n본인이 실드 패링이나 러쉬를 잘 사용할 수 있다면 그리 해도 좋습니다.\n팬텀 가논을 잡으면 독기의 검 / 철퇴 / 창 또는 마왕의 활 중에서 들고 있던 것을 떨굽니다.\n독기마를 잡지 않고 사라질 때까지 놔두면 그 자리에 어둠의 조각이 나옵니다.\n팬텀 가논을 잡아도 어둠의 조각이 나옵니다.']"
... 할때는 유튜브에서 다 알랴줬는데 왕눈은 보스 공략이런거만 있더라고요ㅠㅠ 유튜브에 치면 야숨 사당이 뜨니까 구글에서 사당 이름으로 검색하시면 공략 올라오는 거 떠요.,"['유튜브에 치면 야숨 사당이 뜨니까 구글에서 사당 이름으로 검색하시면 공략 올라오는 거 떠요.', '커뮤니티같은데 가보시면 정보많아요']"
젤다의 전설 공략영상 보면 스테미나 깎아가면서 전력질주 하던데 전력질주 어떻게하나요? 스틱 끝까지 밀어도 그냥 달리기 밖에 안되더라고요 게임에 빠져 사는...,"['    게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ\u200d 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾\n        최대한 간결하고 정확한 답변 드려볼게요!\n  질문에 대한 답변: \n  ""전력질주""는 스테미나를 소모하며 빠르게 이동하는 기술입니다. 젤다의 전설 왕눈에서는 스틱을 끝까지 밀어 달리면 됩니다. \n  달리다가 스테미나가 바닥나면 일시적으로 멈추어야 합니다. 전력질주를 잘 사용하면 빠른 목적지 이동이 가능합니다. \n  공략영상 참고하여 연습해보세요.\n  ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ\n        ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ\n  ', '이동하면서 B를 꾹 누르고 있으면 스태미나를 소모하여 전력질주합니다.\n스태미나를 모두 소모하면 전부 채워질 때까지 불이익이 있을 수 있으며 대표적으로 공중에서 패러세일을 하고 있는 상태나 수영하고 있는 상태, 벽에 매달린 상태에서 낙사하거나 익사 할 수 있게됩니다.\n스태미나를 늘리려면 사당을 깨고 여신 석상에 기도하여 영구적으로 늘릴 수 있습니다.\n사당 4개마다 한 번씩 가능합니다.']"
... ------------- 추가 --------------- 1) 시작의 대지 4개 사당 공략 전이라면 방한복이 아니라도 그런 식으로 방한 '요리'나 '물약'을 만들어 버티면서 진행할 수 있습니다. ** 어떻게든...,"['만약 시작의 대지 에피소드를 깨고 패러세일을 얻으셨다면 못 얻습니다.', ""일단 야생의 숨결은\n타이밍 못 잡았다고 끝인 건 없고요\n다만 NPC가 활동하는 '시간대'가 있어서\n특정 시간에 특정 위치 혹은 특정 행동이 정해진 경우가 있습니다.\n노인이 있는 자리가 시간에 따라 다르니 찾아다녀 보시거나\n시간대를 바꿔 보세요(모닥불 시간보내기)\n노인의 오두막, 회생의 사당 내리막길 처음 만난 모닥불\n그리고 숲속 요리냄비 근처\n등일 텐데\n그 요리에 대해서 말하려면\n오두막이나 요리냄비 근처에서 말을 걸어야\n'요리해 봤어요' 멘트를 선택 가능할 겁니다.\n------------- 추가 ---------------\n1) 시작의 대지 4개 사당 공략 전이라면\n    방한복이 아니라도 그런 식으로 방한 '요리'나 '물약'을 만들어\n    버티면서 진행할 수 있습니다.\n    ** 어떻게든 추운지역 제일 높은 꼭대기 올라가면 노인이 방한복을 그냥 줍니다.\n2) 시작의 대지를 클리어 해서 노인이 없어졌더라도\n    노인의 오두막에서 방한복을 얻을 수 있습니다.\n    방한복은 일반 아이템이라서 나중에 마을 옷 상점에서 구입도 가능합니다."", '노인이 집에 돌아오는것을 기다리거나\n이미 사당 4개를 깬 경우에는 집에 쪽지와 함께 상자에 방한복이 있습니다.', '노인은 점심12시25분에 통나무에 앉습니다.그때 요리를 건네주면 방한복을 받을수 있어요.']"
"신수 퍼즐 하고 있는데 화살이 떨어졌는데 어떻게 하죠.. 방법이 없나요?? 추가내공 200.... 화살을 주변상자에서 찾아보거나,그 물건이나 타는 거 들고와어 던져두돼요...","['야생의 숨결은 신수 퍼즐을 풀다보면 화살을 줍니다. 잘 찾아보세요.\n찾아봤는데도 없으시면 지도 누르고 나와서 화살 많이 구하고 준비해서 다시 도전하세요.', '화살을 주변상자에서 찾아보거나,그 물건이나 타는 거 들고와어 던져두돼요,등불도 가능할걸요']"
... 예를 들어 어떤 공략에서는 첫번째로 코끼리 신수... 말씀하신대로 공략 순서가 있는 것도 아니고 어느... 이죠 물론 공략법만 알면 장난감 됩니다. 말씀하신대로 야숨은...,"[""아.. 반갑습니다~\n하이랄의 세계에 오신 것을 환영합니다.\n야숨은 레벨 디자인이 참 잘 된 게임이라고 생각합니다.\n말씀하신대로 공략 순서가 있는 것도 아니고\n어느 레벨에는 어느 지역만 갈 수 있다.. 그런 제한도 없는 편입니다.\n어느 지역을 먼저 가든 내가 능력껏 가능한 범위 안에서 하면 됩니다.\n왜냐하면 지역에 따라 몬스터 레벨이 높아지는 게 아니라\n내가 플레이 한 만큼, 내가 처치한 몬스터 종류와 수가 쌓일 수록\n'붉은 달' 이벤트로 필드 맵이 리셋되면서 몬스터 등급이 올라가는 시스템이거든요\n그래서 내가 코끼리 지역을 먼저 갔으면 처음 세팅된 낮은 등급 몬스터들이 거기 있고\n거기서 처치한 수가 쌓이면 점차 등급이 높아져서 \n그 다음 어디를 가든지 내 수준에 맞는 등급 몬스터가 있습니다.\n다만 예외가 '필드 보스 몹' 이라고 하는 히녹스, 바위록 종류는\n원래 필드 위치에 따른 등급이 정해져서 변동이 없고\n키이스, 츄츄 처럼 원래 등급이 없는 몬스터도 있습니다.\n특히 '가디언'은 필드에서 만나는 것들은 등급이 없이 원래 그래서\n초반에 만나면 정말 무시무시하고 나중에 만나면 그럭저럭 상대할 만한 정도.. 이죠\n물론 공략법만 알면 장난감 됩니다.\n말씀하신대로 야숨은 캐릭터 레벨 시스템이 없어서\n쓸데없이 몬스터 사냥하면서 경험치 쌓을 일이 없지요\n뭐 죽여서 경험치 쌓이는 건 없습니다. 재료(소재)가 쌓일 뿐이고\n경험치는 플레이어가 직접 플레이 하면서 본인에게 쌓이는 거죠\n그래서 고인물 영상 보면 하트도 하나도 안 올리고 시커스톤과 몇몇 무기만 줍줍해서\n옷도 안 입고 가논 썰어버리는 영상도 있더라고요 (젤다야숨 30분 컷)\n경험치 시스템은 없지만\n각 사당을 클리어해서 얻은 '징표'로 체력과 스태미나를 업그레이드 하게 되고\n방어구(옷)는 '강화'가 가능하며\n코로그 열매를 찾아서 인벤토리 확장이 가능한 정도로\n업그레이드 시스템은 있습니다.\n또 소재를 모아 '시커스톤' 아이템도 업그레이드 됩니다.\n그외 야숨을 위한 팁은\n저의 다른 답변 채택된 것 참고하시면 좋겠네요\nhttps://kin.naver.com/qna/detail.naver?d1id=2&dirId=204&docId=366211150"", '', '순서는 따로 존재하지 않습니다\n보통은 스토리 따라가다보면 물신수를 먼저 만나게 되는데 신수 클리어 시 얻는 능력 생각하면 새 먼저 잡는 것도 좋습니다\n사막신수의 경우 보스 난이도도 높고 사막 필드 특성상 밤에는 방한복 낮에는 사막복장 모두 필요하기 때문에 가장 마지막에 가는 걸 추천합니다\n최종보스는 튜토 끝나자마자 잡으러 가는 영상 있을 정도니 컨만 된다면 4신수 다 안잡고 가도 됩니다', '순서 없고요.\n그래도 저는 새-코끼리-도마뱀-낙타 또는\n새-도마뱀-코끼리-낙타 이 순서를 추천드립니다.\n낙타신수를 마지막에 두는 이유는 나보리스\n최종보스 자체가 다른 보스에 비해 이동속도도\n빠르고 잡는데 까다롭기 때문에 낙타는 마지막을\n추천합니다.(신수를 깨지 않아도 가논전은\n가능하다만 신수에서 잡지 않은 각 신수의 최종보스를\n다 죽여야 가논전이 열려서 신수 깨는걸 추천)\n야숨에는 120개의 사당과 900개의 코로그가 존재합니다. 일단 가논전을 깨시고 사당을\n찾거나 코로그를 찾으시면 재밌습니다.\n그리고 하이랄 대지 구석구석을 탐방하셔도 좋아요.\n만약 dlc 유저시라면 마스터소드를 강화하는\n검의 시련이나 마스터모드를 추가 플레이\n하는 것도 좋습니다. 몬스터도 많이 잡아보고\n자유롭게 한참을 돌아다니면 좋겠습니다.\n저는 마스터 모드까지 합해서 플레이시간 400시간을\n찍고 오랜만에 다시 플레이하는 중입니다.\n400시간을 해도 저는 아직 재미있게 플레이하는 만큼\n앞으로 많이많이 하셨으면 좋겠습니다.']"
... '젤다의 전설 티어스 오브더 킹덤'은 전작과 마찬가지로 퍼즐 요소와 보스전이... 하지만 오픈월드에서 자유롭게 움직일 수 있어서 자신만의 전투 방식을 개발하고 공략할...,"[""   게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ\u200d 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾\n    최대한 간결하고 정확한 답변 드려볼게요!\n 질문에 대한 답변: \n  안녕하세요! '젤다의 전설 티어스 오브더 킹덤'은 전작과 마찬가지로 퍼즐 요소와 보스전이 있습니다. 하지만 오픈월드에서 자유롭게 움직일 수 있어서 자신만의 전투 방식을 개발하고 공략할 수 있습니다. \n  게임 초보자라도 조금씩 연습하다보면 어렵지 않게 클리어할 수 있으니 마음 놓고 즐겨보세요! 생일 축하드립니다 \uf389\uf381\n   ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ\n       ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ\n  ""]"
"... 따로 공략이 필요하다고 느끼지는 않았습니다만 사람마다 다를 수 있죠. 가논전 팁, 사당 클리어 같은 건 공략이... 100%클리어를 노린다면 공략 없이는 정말 오래 걸릴 거에요.","['그냥 엔딩 보는 것 까지는 따로 공략이 필요하다고 느끼지는 않았습니다만 사람마다 다를 수 있죠. 가논전 팁, 사당 클리어 같은 건 공략이 필요한 사람이 있을 수 있고 엔딩 이후 100%클리어를 노린다면 공략 없이는 정말 오래 걸릴 거에요. ']"
젤다의 전설을 첨 해보는데 처음에 공략해야할 것 들과 팁 좀 알려주세요. 내공 퍼드릴게요~~! 게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ 인사드립니다 ꒰⸝⸝•ᴗ...,"['   게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ\u200d 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾\n       최대한 간결하고 정확한 답변 드려볼게요!\n    질문에 대한 답변: \n 젤다의 전설 티어스 오브 더 킹덤에서 좋은 시작을 위해, 무기와 방어구를 업그레이드하고 보석을 수집하세요. 또한, 게임 내 동맹 NPC와의 관계를 개선하여 유리한 상황을 만드세요. \n 마지막으로, 매인 퀘스트를 완수하기 전에 사이드 퀘스트를 수행하고 필요한 아이템과 경험치를 모으세요. 이것들을 지키면서 재미있게 게임을 즐길 수 있습니다!\n   ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ\n         ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ\n  ']"
