question,answers
... 젤다 왕눈의 공략법에 대해 물어보셨네요. 프루아 일지를 찾아 볼 때 추낙 고대 연구소에서 찾을 수 있다고 하네요. 이 위치는 젤다 게임 마을에서 서쪽으로 이동하여...,"   게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
       최대한 간결하고 정확한 답변 드려볼게요!
  질문에 대한 답변: 
안녕하세요! 젤다 왕눈의 공략법에 대해 물어보셨네요. 프루아 일지를 찾아 볼 때 추낙 고대 연구소에서 찾을 수 있다고 하네요. 
  이 위치는 젤다 게임 마을에서 서쪽으로 이동하여, 사막 지역 안으로 들어가면 찾을 수 있습니다. 연구소 내부에서는 여러 가지 퍼즐을 풀고 보물을 찾으면 됩니다. 
  행운을 빌어요!
   ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
         ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
  "
"이거 어떻게 깨나요? 밖에 있는 마개를 울트라 핸드로 빼면 됩니다. 잘 안빠지는데요,로켓같은 조나우 기어를 달면 잘 빠집니다. ???:아앗 걸렸다! 채택해주시면 감사하겠습니다.",울트라핸드로 저 꽂혀 있는 마개 뽑으면 됩니다.
"이거 어떻게 깨나요? 밖에 있는 마개를 울트라 핸드로 빼면 됩니다. 잘 안빠지는데요,로켓같은 조나우 기어를 달면 잘 빠집니다. ???:아앗 걸렸다! 채택해주시면 감사하겠습니다.",울트라핸드로 붙이시면 됩니다
"이거 어떻게 깨나요? 밖에 있는 마개를 울트라 핸드로 빼면 됩니다. 잘 안빠지는데요,로켓같은 조나우 기어를 달면 잘 빠집니다. ???:아앗 걸렸다! 채택해주시면 감사하겠습니다.","밖에 있는 마개를 울트라 핸드로 빼면 됩니다.
잘 안빠지는데요,로켓같은 조나우 기어를 달면
잘 빠집니다.
???:아앗 걸렸다!
채택해주시면 감사하겠습니다."
"... ### 왕눈 보스 공략 우선, 왕눈 보스는 상당히 강력한 적입니다. 하지만 어떻게 하면 데그가마를 잡을 수 있을까요? 아래의 단계를 따라서 해보세요. 1. **적의 공격을...","1. 그리오크 잡는 방법
화살에 키이스 또는 카쿠다의 눈알을 스크래빌드하면 유도 화살이 됩니다.
머리를 유도하므로 그냥 에임 맞춰서 쏘면 됩니다.
바닥에 쓰러지면 아무 머리로 가서 양손검 훨 윈드를 쓰거나 창 공격이 가장 좋습니다.
이걸 반복하면 됩니다.
2. 데그가마 잡는 방법
입 벌려서 빨아들이려 할 때 조명꽃같은 소재 던지면 꼭꼭 씹어먹는 행동을 취합니다.
이 때 화살로 눈을 맞추면 일정 시간동안 쓰러집니다.
양쪽 앞발을 타고 등에 있는 조나니움 광상을 양손 검 훨 윈드로 공격해서 전부 파괴하면 됩니다.
입 벌려서 빨아들일 때 폭탄꽃을 던지면 꼭꼭 씹어먹는 행동이 끝나고 눈을 맞추지 않더라도 내부 폭발로 인해 일정 시간동안 쓰러지므로 폭탄꽃 여유가 있다면 추천합니다."
"... ### 왕눈 보스 공략 우선, 왕눈 보스는 상당히 강력한 적입니다. 하지만 어떻게 하면 데그가마를 잡을 수 있을까요? 아래의 단계를 따라서 해보세요. 1. **적의 공격을...","안녕하십니까? 답변드려요.
### 왕눈 보스 공략
우선, 왕눈 보스는 상당히 강력한 적입니다. 하지만 어떻게 하면 데그가마를 잡을 수 있을까요? 아래의 단계를 따라서 해보세요.
1. **적의 공격을 방어하세요.** 왕눈 보스는 매우 강력한 공격을 가지고 있습니다. 그러므로, 먼저 공격을 방어해야 합니다. 특히, 데그가마의 공격은 매우 강력하며 멀리서 공격하는 능력이 있으므로 주의해야 합니다.
2. **적의 약점을 파악하세요.** 왕눈 보스는 여러 가지 약점을 가지고 있습니다. 예를 들어, 데그가마는 불 속성의 공격에 약합니다. 이러한 약점을 파악해서 약점에 맞는 공격으로 공격하세요.
3. **적의 움직임을 파악하세요.** 왕눈 보스는 다양한 움직임을 가지고 있습니다. 그래서, 상대방의 움직임을 분석할 필요가 있습니다. 데그가마는 빠르게 이동하고 점프할 수 있으므로, 상대방의 움직임을 예측하고 대처하세요.
4. **적을 공격하세요.** 적의 약점과 움직임을 파악한 후에, 적을 공격하세요. 이때, 데그가마는 불 속성의 공격을 많이 사용합니다. 불 속성의 공격으로 공격하면 보다 효과적인 결과를 얻을 수 있습니다.
5. **계속 반복하세요.** 위의 단계를 계속해서 반복하면서, 왕눈 보스를 물리치세요. 보다 효과적인 결과를 얻으려면, 상대방의 움직임을 예측하는 것이 중요합니다.
위의 단계들을 따르면서, 왕눈 보스를 잡을 수 있습니다. 하지만, 이것은 쉽지 않은 일입니다. 게임을 즐기면서 조금씩 연습해보세요. 그러면, 보다 높은 성과를 얻을 수 있을 것입니다.
도움이 되시면 좋겠습니다.    "
"... 왕눈 프리즈게이라 공략법에 대해 알려드리겠습니다. Step 1: 적절한 팀 구성하기 - 왕눈은 주로 원거리 공격에 강한 영웅이므로, 팀에는 왕눈과 함께 탱커나 딜러 등의 다른...","그냥 보스 등에 있는 얼음을 화살로 깨시면 됩니다.
이것도 어려우시면 유튜브 참고 고고"
"... 왕눈 프리즈게이라 공략법에 대해 알려드리겠습니다. Step 1: 적절한 팀 구성하기 - 왕눈은 주로 원거리 공격에 강한 영웅이므로, 팀에는 왕눈과 함께 탱커나 딜러 등의 다른...","안녕하세요.
왕눈 프리즈게이라 공략법에 대해 알려드리겠습니다. 
Step 1: 적절한 팀 구성하기
- 왕눈은 주로 원거리 공격에 강한 영웅이므로, 팀에는 왕눈과 함께 탱커나 딜러 등의 다른 역할을 수행할 영웅들을 포함시키는 것이 좋습니다.
Step 2: 스킬 사용 전략 이해하기
- 왕눈의 스킬 중 '얼음폭발'은 넓은 범위에 데미지를 입히는 공격입니다. 이 스킬을 적절하게 활용하여 적들을 제압할 수 있습니다.
- 또한, '빙결장벽' 스킬은 팀원들을 보호하고 적의 이동을 방해하는데 유용합니다. 적의 공격을 막고 팀원들의 생존력을 높이는 데에 주목해야 합니다.
Step 3: 아이템 선택하기
- 왕눈은 주로 마법 공격을 사용하기 때문에, 마법 공격력을 높여주는 아이템을 선택하는 것이 좋습니다. 예를 들어 '마법서: 신속한 냉기'나 '마법서: 얼음 마법 강화'와 같은 아이템을 고려해보세요.
Step 4: 전투 전략
- 왕눈은 원거리에서 안전하게 공격할 수 있는 영웅이므로, 적들에게 직접 닿지 않도록 유지하는 것이 중요합니다. 
- 팀원들과 함께 협력하여 적의 주력을 제압하고, 필요한 경우에는 '빙결장벽' 스킬을 사용하여 적의 이동을 방해하는 것이 좋습니다.
Step 5: 훈련과 경험
- 왕눈 프리즈게이라를 잘 다루기 위해서는 충분한 훈련과 경험이 필요합니다. 스킬 사용 시기와 위치, 아이템 선택 등을 연습하며 자신만의 전략을 개발해보세요.
이러한 단계들을 따라가면서 왕눈 프리즈게이라를 효과적으로 공략할 수 있을 것입니다. 추가로 궁금한 점이 있으시면 언제든지 물어보세요!
감사합니다.    "
... 제가 방금 왕눈 엔딩을 보고 왔는데 물론 여자친구에겐 아직 먼 얘기겠지만서도 러쉬 없이도 공략이 가능할까요?? 혹시 러쉬없이 기발한 방법으로 깨신분 계세요?? 네...,활만 열심히 쏴제끼면 아무것도 못하고 죽는답니다. 그 외에 러쉬대신 패링을 쓴다거나 하기도 하고 특수한 파츠를 이용한 블루프린트로 가논돌프 ai를 무력화하는 글리치도 아직 수정이 되지 않았기 때문에 방법은 많아요. 
... 제가 방금 왕눈 엔딩을 보고 왔는데 물론 여자친구에겐 아직 먼 얘기겠지만서도 러쉬 없이도 공략이 가능할까요?? 혹시 러쉬없이 기발한 방법으로 깨신분 계세요?? 네...,"네, 젤다의 전설: 브레스 오브 더 와일드의 왕눈 가논전은 러쉬 없이도 가능합니다. 게임을 천천히 즐기고 여러 가지 전략을 시도하면서 진행할 수 있습니다.
러쉬 없이 왕눈 가논전을 깨신 분들은 다양한 방법을 사용했습니다. 예를 들어, 왕눈의 공격 패턴을 파악하고 피하면서 천천히 공격하는 방법이 있습니다. 또는 왕눈 주변에 있는 환경을 활용하여 함정을 설치하거나, 화살을 사용하여 왕눈을 공격하는 방법도 있습니다.
하지만 각각의 플레이어는 자신만의 전략과 스타일을 가지고 있기 때문에, 여러 가지 방법을 시도해보고 여자친구와 함께 즐기면서 진행하는 것이 좋습니다. 게임을 천천히 익히고 적응하면서 왕눈 가논전을 깨는 재미를 느낄 수 있을 것입니다."
제가 사당을 깨려고 하는데 자루머르겠아요ㅠㅠ 젤다의 잔설 고수님들 제발 사당 깽거 있으면 알려주세요ㅠㅠ 야숨 할때는 유튜브에서 다 알랴줬는데 왕눈은 보스 공략이런거...,유튜브에 치면 야숨 사당이 뜨니까 구글에서 사당 이름으로 검색하시면 공략 올라오는 거 떠요.
제가 사당을 깨려고 하는데 자루머르겠아요ㅠㅠ 젤다의 잔설 고수님들 제발 사당 깽거 있으면 알려주세요ㅠㅠ 야숨 할때는 유튜브에서 다 알랴줬는데 왕눈은 보스 공략이런거...,커뮤니티같은데 가보시면 정보많아요
젤다 왕눈 지상 120개 하늘 32개 현재 151개인데 하늘섬엔 32개 보이는데 지상은... 말씀 부탁드립니다. 여기 있어요 https://www.youtube.com/watch?v=XHmUM2lIaOc 공략,"여기 있어요
https://www.youtube.com/watch?v=XHmUM2lIaOc"
젤다 왕눈 지상 120개 하늘 32개 현재 151개인데 하늘섬엔 32개 보이는데 지상은... 말씀 부탁드립니다. 여기 있어요 https://www.youtube.com/watch?v=XHmUM2lIaOc 공략,공략
... 공략 영상 유튜브를 찾아도 없어요 아니 진짜 뭐져 아무리 찾아도 없어요 2뢰차라 본계사당들중에들도 안보이고 안녕하십니까? 답변드려요. 다잉 리올의 사당은 젤다 왕눈...,"아무리 찾아도 없는 거면 없는 거죠. 왕눈의 사당은 사당 이름에 띄어쓰기가 없어요. ~의 사당에서 의v사당 부분을 제외하면요. 지식인에는 헛소리를 당당하게 해 대는 ai들이 차고 넘치기 때문에 적당히 보고 ai를 구분할 수 있는 능력이 필요합니다.
다잉 리올의 사당 답변 나온 질문 찾아봤는데요. 답변에 문제가 매우 많았습니다. 왕눈 질문에 야숨으로 답변하는 건 기본. 사당을 클리어하면 마스터소드를 얻는 퀘스트를 할 수 있다는 왕눈이고 야숨이고 존재하지 않는 내용을 사실인 것 처럼 답변하는(야숨이고 왕눈이고 마스터소드는 특정 사당의 클리어를 요구하지 않음) ai를 채택하셨더라고요. "
... 공략 영상 유튜브를 찾아도 없어요 아니 진짜 뭐져 아무리 찾아도 없어요 2뢰차라 본계사당들중에들도 안보이고 안녕하십니까? 답변드려요. 다잉 리올의 사당은 젤다 왕눈...,"   게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
      최대한 간결하고 정확한 답변 드려볼게요!
    질문에 대한 답변: 
다잉 리올의 사당은 게임 ""젤다의 전설: 브레스 오브 더 와일드""에 등장하는 장소입니다. 게임 내에서 이 사당을 찾기 위해서는 지도를 사용하거나 검색 엔진을 활용하는 것이 좋습니다. 
 게임 커뮤니티나 포럼에서 도움을 구하는 것도 좋은 방법이 될 수 있습니다. 공략 영상이 없는 경우는 꽤 드물며, 출시 이후 많은 플레이어들이 이 사당을 찾기 위한 방법들을 공유해왔습니다. 
  계속해서 더 관련된 정보를 찾아보시면 도움이 될 것입니다. 행운을 빕니다!
  ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
       ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
 "
