question,answers
젤다 왕눈 꼭 모든사당 깨야하나요? 전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.,전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.
젤다 왕눈 꼭 모든사당 깨야하나요? 전혀요. 시작의하늘섬에 있는 사당을 제외하면 하나도 안 깨도 엔딩볼 수 있습니다.,아니요 입에서 녹여드셔도 되시지요
제가 사당 151개를 깼습니다. 하늘에 위치한 사당과 지저의 뿌리는 다 찾았는데 지상의 사당 한개를 못 찾겠어요ㅜㅜ 찾아주세요 안녕하세요? 하늘섬 다시 확인해...,"안녕하세요?
하늘섬 다시 확인해 보시겠어요?
하늘섬에 32개고, 지상은 120개 입니다. "
... 질문에 대한 답변: 젤다 왕눈 사당에서 152개의 모든 사당을 클리어하고 조나우 갑옷을 받으셨다면 축하드립니다. 하지만 사진과 같이 사당 퀘스트를 보면 31/31이 아닌...,"예 퀘스트를 받지 않고 바로 깬 것입니다
퀘스트 받으시면 아마 바로 클리어가 될겁니다
(근데 어디 퀘스트인지는 노가다로 찾아야 합니다)"
... 질문에 대한 답변: 젤다 왕눈 사당에서 152개의 모든 사당을 클리어하고 조나우 갑옷을 받으셨다면 축하드립니다. 하지만 사진과 같이 사당 퀘스트를 보면 31/31이 아닌...,"   게임에 빠져 사는 ᵔᴥᵔ게임광ᵔᴥᵔ‍ 인사드립니다 ꒰⸝⸝•ᴗ•⸝⸝꒱੭⁾⁾
     최대한 간결하고 정확한 답변 드려볼게요!
 질문에 대한 답변: 
  젤다 왕눈 사당에서 152개의 모든 사당을 클리어하고 조나우 갑옷을 받으셨다면 축하드립니다. 하지만 사진과 같이 사당 퀘스트를 보면 31/31이 아닌 30/31로 나타나는 경우 버그 일 수 있습니다. 
  아니면 원래 퀘스트를 받을 때 누락된 부분이 있는 것일 수 있습니다. 게임 제작사에 문의하여 조치를 취해보시는 것이 가장 좋을 것입니다.
  ᵔᴥᵔ답변에 만족하셨다면 채택 부탁드려요ᵔᴥᵔ
      ᵔᴥᵔ궁금하신점이 또 있으시다면 추가질문을 부탁드리겠습니다ᵔᴥᵔ
 "
이미 클리어한 사당 안한 사당 구분하는 방법 있나요? 사당 이름 옆에 상자 표시는 뭔가요? 맵보시면 클리어한 사당은 파랑색으로 표시되고 클리어하지 못한 사당은 파랑색에...,"맵보시면 클리어한 사당은 파랑색으로 표시되고
클리어하지 못한 사당은 파랑색에 주황색으로 표시됩니다.
상자표시는 내가 사당에 상자를 발견했나 안했나 표시해주는 겁니다."
사당 안간곳을 못찾겠는데 어디에 있나요? 아직 체력 3칸 못채웠고 축복의 빛은 3개 있어요 이거 하나 비었네요 원래 체력은 꽉 못채우고 두칸 비어요,이거 하나 비었네요 원래 체력은 꽉 못채우고 두칸 비어요
왕눈도 전작 야숨처럼 들어갔다가 덜깨고 나온 사당은 붉은색으로 지도에 워프 표시해주나요? 아니면 아예 표시 안해서 워프도 못하나요. 저번에 하나 들어갔다가 그냥...,"사당 문 열고 클리어를 안 했으면 아이콘 테두리는 파란색, 중앙은 주황색으로 표시됩니다.
야숨이랑 같아요."
... 한 군데 남으신거 같은데요? 맞나요? 이미지가 작아서 잘은 안보이는데요... 빨간 원으로 친 부분에는 사당이 두 군데 입니다. 여기가 맞을 듯 싶네요...,"안녕하세요?
한 군데 남으신거 같은데요? 맞나요?"
... 한 군데 남으신거 같은데요? 맞나요? 이미지가 작아서 잘은 안보이는데요... 빨간 원으로 친 부분에는 사당이 두 군데 입니다. 여기가 맞을 듯 싶네요...,"이미지가 작아서 잘은 안보이는데요...
빨간 원으로 친 부분에는 사당이 두 군데 입니다. 여기가 맞을 듯 싶네요..."
